,x,y,time
0,19,0,1
1,2,3,1
2,24,5,1
3,27,6,1
4,10,7,1
5,0,9,1
6,10,9,1
7,14,9,1
8,24,12,1
9,17,14,1
10,9,16,1
11,6,20,1
12,20,21,1
13,5,22,1
14,28,25,1
15,22,28,1
0,19,0,2
1,2,3,2
2,24,5,2
3,27,6,2
4,10,7,2
5,0,9,2
6,10,9,2
7,14,9,2
8,24,12,2
9,17,14,2
10,9,16,2
11,6,20,2
12,20,21,2
13,5,22,2
14,28,25,2
15,22,28,2
0,19,0,3
1,2,3,3
2,24,5,3
3,27,6,3
4,0,9,3
5,10,9,3
6,14,9,3
7,24,12,3
8,17,14,3
9,9,16,3
10,6,20,3
11,20,21,3
12,5,22,3
13,28,25,3
14,22,28,3
0,19,0,4
1,2,3,4
2,24,5,4
3,27,6,4
4,0,9,4
5,10,9,4
6,14,9,4
7,24,12,4
8,17,14,4
9,6,20,4
10,20,21,4
11,5,22,4
12,22,28,4
0,19,0,5
1,2,3,5
2,24,5,5
3,27,6,5
4,0,9,5
5,14,9,5
6,24,12,5
7,17,14,5
8,6,20,5
9,20,21,5
10,5,22,5
0,19,0,6
1,2,3,6
2,24,5,6
3,27,6,6
4,0,9,6
5,14,9,6
6,24,12,6
7,17,14,6
8,6,20,6
9,5,22,6
0,19,0,7
1,2,3,7
2,24,5,7
3,27,6,7
4,0,9,7
5,14,9,7
6,24,12,7
7,17,14,7
8,6,20,7
9,5,22,7
0,19,0,8
1,2,3,8
2,24,5,8
3,27,6,8
4,0,9,8
5,24,12,8
6,17,14,8
7,6,20,8
0,19,0,9
1,2,3,9
2,24,5,9
3,27,6,9
4,0,9,9
5,24,12,9
6,17,14,9
0,19,0,10
1,2,3,10
2,24,5,10
3,27,6,10
4,0,9,10
5,24,12,10
6,17,14,10
0,19,0,11
1,2,3,11
2,24,5,11
3,27,6,11
4,0,9,11
5,24,12,11
6,17,14,11
0,19,0,12
1,2,3,12
2,24,5,12
3,27,6,12
4,0,9,12
5,24,12,12
0,19,0,13
1,2,3,13
2,24,5,13
3,27,6,13
4,0,9,13
5,24,12,13
0,19,0,14
1,2,3,14
2,24,5,14
3,27,6,14
4,0,9,14
5,24,12,14
0,19,0,15
1,2,3,15
2,24,5,15
3,27,6,15
4,0,9,15
5,24,12,15
0,19,0,16
1,2,3,16
2,24,5,16
3,27,6,16
4,0,9,16
5,24,12,16
0,19,0,17
1,2,3,17
2,24,5,17
3,27,6,17
4,0,9,17
5,24,12,17
0,19,0,18
1,2,3,18
2,24,5,18
3,27,6,18
4,0,9,18
0,19,0,19
1,2,3,19
2,24,5,19
3,27,6,19
4,0,9,19
0,19,0,20
1,2,3,20
2,24,5,20
3,27,6,20
4,0,9,20
0,19,0,21
1,2,3,21
2,24,5,21
3,27,6,21
4,0,9,21
0,19,0,22
1,2,3,22
2,24,5,22
3,0,9,22
0,19,0,23
1,2,3,23
2,24,5,23
3,0,9,23
0,19,0,24
1,2,3,24
2,0,9,24
0,19,0,25
1,2,3,25
2,0,9,25
0,19,0,26
1,2,3,26
2,0,9,26
0,19,0,27
1,2,3,27
2,0,9,27
0,19,0,28
1,2,3,28
2,0,9,28
0,2,3,29
1,0,9,29
0,2,3,30
1,0,9,30
0,2,3,31
1,0,9,31
0,2,3,32
1,0,9,32
0,2,3,33
1,0,9,33
0,2,3,34
1,0,9,34
0,2,3,35
1,0,9,35
0,2,3,36
1,0,9,36
0,2,3,37
1,0,9,37
0,2,3,38
1,0,9,38
0,2,3,39
1,0,9,39
0,2,3,40
1,0,9,40
0,2,3,41
1,0,9,41
0,0,9,42
0,0,9,43
0,0,9,44
0,0,9,45
0,0,9,46
0,0,9,47
0,28,1,48
1,3,2,48
2,18,2,48
3,20,4,48
4,13,9,48
5,4,10,48
6,13,11,48
7,2,12,48
8,10,13,48
9,28,13,48
10,17,16,48
11,19,18,48
12,16,21,48
13,16,24,48
14,14,26,48
15,5,27,48
0,28,1,49
1,3,2,49
2,18,2,49
3,20,4,49
4,13,9,49
5,13,11,49
6,2,12,49
7,10,13,49
8,28,13,49
9,17,16,49
10,19,18,49
11,16,21,49
12,16,24,49
13,14,26,49
14,5,27,49
