,x,y,time
0,21,5,1
1,22,5,1
2,23,5,1
3,21,6,1
4,22,6,1
5,23,6,1
6,21,7,1
7,22,7,1
8,23,7,1
9,9,8,1
10,10,8,1
11,11,8,1
12,9,9,1
13,10,9,1
14,11,9,1
15,9,10,1
16,10,10,1
17,11,10,1
0,21,5,2
1,22,5,2
2,23,5,2
3,21,6,2
4,22,6,2
5,23,6,2
6,21,7,2
7,22,7,2
8,23,7,2
9,9,8,2
10,10,8,2
11,11,8,2
12,9,9,2
13,10,9,2
14,11,9,2
15,9,10,2
16,10,10,2
17,11,10,2
0,21,5,3
1,22,5,3
2,23,5,3
3,21,6,3
4,22,6,3
5,23,6,3
6,21,7,3
7,22,7,3
8,23,7,3
9,9,8,3
10,10,8,3
11,11,8,3
12,9,9,3
13,10,9,3
14,11,9,3
15,9,10,3
16,10,10,3
17,11,10,3
0,21,5,4
1,22,5,4
2,23,5,4
3,21,6,4
4,22,6,4
5,23,6,4
6,21,7,4
7,22,7,4
8,23,7,4
9,9,8,4
10,10,8,4
11,11,8,4
12,9,9,4
13,10,9,4
14,11,9,4
15,9,10,4
16,10,10,4
17,11,10,4
0,22,5,5
1,23,5,5
2,21,6,5
3,22,6,5
4,23,6,5
5,21,7,5
6,22,7,5
7,23,7,5
8,9,8,5
9,10,8,5
10,11,8,5
11,9,9,5
12,10,9,5
13,11,9,5
14,9,10,5
15,10,10,5
0,22,5,6
1,23,5,6
2,21,6,6
3,22,6,6
4,23,6,6
5,21,7,6
6,22,7,6
7,23,7,6
8,9,8,6
9,10,8,6
10,11,8,6
11,9,9,6
12,10,9,6
13,9,10,6
14,10,10,6
0,22,5,7
1,23,5,7
2,21,6,7
3,22,6,7
4,23,6,7
5,21,7,7
6,22,7,7
7,23,7,7
8,9,8,7
9,10,8,7
10,11,8,7
11,9,9,7
12,10,9,7
13,10,10,7
0,22,5,8
1,23,5,8
2,21,6,8
3,22,6,8
4,23,6,8
5,21,7,8
6,22,7,8
7,23,7,8
8,9,8,8
9,10,8,8
10,9,9,8
11,10,9,8
12,10,10,8
0,22,5,9
1,23,5,9
2,21,6,9
3,22,6,9
4,23,6,9
5,21,7,9
6,22,7,9
7,9,8,9
8,10,8,9
9,9,9,9
10,10,10,9
0,22,5,10
1,23,5,10
2,21,6,10
3,22,6,10
4,23,6,10
5,22,7,10
6,10,8,10
7,9,9,10
8,10,10,10
0,22,5,11
1,23,5,11
2,21,6,11
3,23,6,11
4,22,7,11
5,10,8,11
6,9,9,11
0,22,5,12
1,21,6,12
2,23,6,12
3,22,7,12
4,9,9,12
0,21,6,13
1,23,6,13
2,22,7,13
0,21,6,14
1,23,6,14
0,21,6,15
0,14,13,16
1,15,13,16
2,16,13,16
3,14,14,16
4,15,14,16
5,16,14,16
6,14,15,16
7,15,15,16
8,16,15,16
9,21,22,16
10,22,22,16
11,23,22,16
12,21,23,16
13,22,23,16
14,23,23,16
15,21,24,16
16,22,24,16
17,23,24,16
0,14,13,17
1,15,13,17
2,16,13,17
3,14,14,17
4,15,14,17
5,16,14,17
6,14,15,17
7,15,15,17
8,16,15,17
9,21,22,17
10,22,22,17
11,23,22,17
12,21,23,17
13,22,23,17
14,23,23,17
15,21,24,17
16,22,24,17
17,23,24,17
0,14,13,18
1,15,13,18
2,16,13,18
3,14,14,18
4,15,14,18
5,16,14,18
6,14,15,18
7,15,15,18
8,16,15,18
9,21,22,18
