Epoch,Loss
0,0.10593142807959749
1,0.10591376287202103
2,0.10517737368335978
3,0.10575713977937738
4,0.10519110908606849
5,0.10581656553434393
6,0.10556293095643528
7,0.10591362007468129
8,0.10580649231813444
9,0.10611053148861796
10,0.1056197061063573
11,0.10445108716361248
12,0.10435103600213941
13,0.10441968022598722
14,0.10636457572348963
15,0.10587450632224449
16,0.10495799191641256
17,0.10636845306633189
18,0.10532233397812603
19,0.10512930307442102
20,0.10490760073726313
21,0.10530198019253798
22,0.10449144948785678
23,0.10487734189869972
24,0.10461614464972013
25,0.10415428547045817
26,0.10426153889009224
27,0.10449750783641974
28,0.10591217730426417
29,0.1047153438994893
30,0.10474371744659
31,0.10442223916270624
32,0.1045726593777228
33,0.10431381756999193
34,0.10425668271978537
35,0.10391371533685266
36,0.10448205622787864
37,0.10647831483782766
38,0.10578383059767536
39,0.10462104293633812
40,0.10394280026711453
41,0.10359804424198386
42,0.10436610912475676
43,0.10443443242466441
44,0.10389422615037892
45,0.10382017722359291
46,0.1037026848882056
47,0.10375740706396941
48,0.10299961019557315
49,0.10407422921551873
