,c_trust,sight_radius,reward_patch_dim,sim index,run index,time to first food,num birds failed
0,0.0,5,1,0,0,1.5555555555555556,0
1,0.0,5,1,0,1,1.3333333333333333,0
2,0.0,5,1,0,2,4.222222222222222,0
3,0.0,5,1,0,3,13.222222222222221,1
4,0.0,5,1,0,4,2.5555555555555554,0
5,0.0,5,1,0,5,3.0,0
6,0.0,5,1,0,6,2.111111111111111,0
7,0.0,5,1,0,7,1.4444444444444444,0
8,0.0,5,1,0,8,5.666666666666667,0
9,0.0,5,1,0,9,8.222222222222221,0
10,0.0,5,2,1,0,28.22222222222222,3
11,0.0,5,2,1,1,16.77777777777778,1
12,0.0,5,2,1,2,31.333333333333332,5
13,0.0,5,2,1,3,15.555555555555555,1
14,0.0,5,2,1,4,24.555555555555557,3
15,0.0,5,2,1,5,18.0,2
16,0.0,5,2,1,6,18.77777777777778,2
17,0.0,5,2,1,7,15.88888888888889,1
18,0.0,5,2,1,8,20.88888888888889,2
19,0.0,5,2,1,9,19.0,3
20,0.0,5,3,2,0,19.22222222222222,3
21,0.0,5,3,2,1,14.0,1
22,0.0,5,3,2,2,35.333333333333336,4
23,0.0,5,3,2,3,20.88888888888889,2
24,0.0,5,3,2,4,21.77777777777778,2
25,0.0,5,3,2,5,39.77777777777778,6
26,0.0,5,3,2,6,11.11111111111111,1
27,0.0,5,3,2,7,33.333333333333336,2
28,0.0,5,3,2,8,26.666666666666668,4
29,0.0,5,3,2,9,7.666666666666667,0
30,0.0,5,4,3,0,35.333333333333336,4
31,0.0,5,4,3,1,31.22222222222222,3
32,0.0,5,4,3,2,34.888888888888886,4
33,0.0,5,4,3,3,22.666666666666668,2
34,0.0,5,4,3,4,37.0,4
35,0.0,5,4,3,5,42.0,6
36,0.0,5,4,3,6,35.22222222222222,4
37,0.0,5,4,3,7,20.0,2
38,0.0,5,4,3,8,36.0,5
39,0.0,5,4,3,9,45.111111111111114,7
40,0.0,5,5,4,0,12.88888888888889,2
41,0.0,5,5,4,1,19.88888888888889,2
42,0.0,5,5,4,2,41.888888888888886,5
43,0.0,5,5,4,3,21.77777777777778,3
44,0.0,5,5,4,4,36.333333333333336,6
45,0.0,5,5,4,5,22.88888888888889,3
46,0.0,5,5,4,6,34.55555555555556,5
47,0.0,5,5,4,7,22.11111111111111,3
48,0.0,5,5,4,8,14.333333333333334,1
49,0.0,5,5,4,9,17.444444444444443,1
50,0.1,5,1,5,0,1.7777777777777777,0
51,0.1,5,1,5,1,3.111111111111111,0
52,0.1,5,1,5,2,1.6666666666666667,0
53,0.1,5,1,5,3,2.111111111111111,0
54,0.1,5,1,5,4,2.3333333333333335,0
55,0.1,5,1,5,5,2.3333333333333335,0
56,0.1,5,1,5,6,1.5555555555555556,0
57,0.1,5,1,5,7,2.7777777777777777,0
58,0.1,5,1,5,8,2.5555555555555554,0
59,0.1,5,1,5,9,2.2222222222222223,0
60,0.1,5,2,6,0,3.4444444444444446,0
61,0.1,5,2,6,1,4.888888888888889,0
62,0.1,5,2,6,2,7.0,0
63,0.1,5,2,6,3,5.888888888888889,0
64,0.1,5,2,6,4,13.88888888888889,2
65,0.1,5,2,6,5,5.555555555555555,0
66,0.1,5,2,6,6,7.444444444444445,0
67,0.1,5,2,6,7,6.777777777777778,0
68,0.1,5,2,6,8,3.4444444444444446,0
69,0.1,5,2,6,9,4.222222222222222,0
70,0.1,5,3,7,0,7.666666666666667,0
71,0.1,5,3,7,1,3.4444444444444446,0
72,0.1,5,3,7,2,6.0,0
73,0.1,5,3,7,3,6.0,0
74,0.1,5,3,7,4,5.555555555555555,0
75,0.1,5,3,7,5,6.555555555555555,0
76,0.1,5,3,7,6,2.888888888888889,0
77,0.1,5,3,7,7,16.0,2
78,0.1,5,3,7,8,4.0,0
79,0.1,5,3,7,9,9.222222222222221,1
80,0.1,5,4,8,0,9.222222222222221,0
81,0.1,5,4,8,1,5.555555555555555,0
82,0.1,5,4,8,2,24.0,0
83,0.1,5,4,8,3,13.333333333333334,1
84,0.1,5,4,8,4,5.666666666666667,0
85,0.1,5,4,8,5,4.555555555555555,0
86,0.1,5,4,8,6,7.666666666666667,0
87,0.1,5,4,8,7,15.88888888888889,0
88,0.1,5,4,8,8,10.666666666666666,0
89,0.1,5,4,8,9,3.5555555555555554,0
90,0.1,5,5,9,0,9.0,0
91,0.1,5,5,9,1,6.666666666666667,0
92,0.1,5,5,9,2,5.111111111111111,0
93,0.1,5,5,9,3,9.222222222222221,0
94,0.1,5,5,9,4,4.111111111111111,0
95,0.1,5,5,9,5,8.11111111111111,0
96,0.1,5,5,9,6,8.555555555555555,0
97,0.1,5,5,9,7,7.666666666666667,0
98,0.1,5,5,9,8,15.88888888888889,0
99,0.1,5,5,9,9,34.111111111111114,3
100,0.3,5,1,10,0,3.0,0
101,0.3,5,1,10,1,2.4444444444444446,0
102,0.3,5,1,10,2,3.2222222222222223,0
103,0.3,5,1,10,3,2.6666666666666665,0
104,0.3,5,1,10,4,2.0,0
105,0.3,5,1,10,5,3.111111111111111,0
106,0.3,5,1,10,6,2.6666666666666665,0
107,0.3,5,1,10,7,2.888888888888889,0
108,0.3,5,1,10,8,5.0,0
109,0.3,5,1,10,9,2.111111111111111,0
110,0.3,5,2,11,0,3.3333333333333335,0
111,0.3,5,2,11,1,6.444444444444445,0
112,0.3,5,2,11,2,3.6666666666666665,0
113,0.3,5,2,11,3,2.2222222222222223,0
114,0.3,5,2,11,4,3.0,0
115,0.3,5,2,11,5,3.888888888888889,0
116,0.3,5,2,11,6,4.111111111111111,0
