,x,y,time
0,13,3,1
1,14,3,1
2,15,3,1
3,16,3,1
4,13,4,1
5,14,4,1
6,15,4,1
7,16,4,1
8,13,5,1
9,14,5,1
10,15,5,1
11,16,5,1
12,13,6,1
13,14,6,1
14,15,6,1
15,16,6,1
0,13,3,2
1,14,3,2
2,15,3,2
3,16,3,2
4,13,4,2
5,14,4,2
6,15,4,2
7,16,4,2
8,13,5,2
9,14,5,2
10,15,5,2
11,16,5,2
12,13,6,2
13,14,6,2
14,15,6,2
15,16,6,2
0,13,3,3
1,14,3,3
2,15,3,3
3,16,3,3
4,13,4,3
5,14,4,3
6,15,4,3
7,16,4,3
8,13,5,3
9,14,5,3
10,15,5,3
11,16,5,3
12,13,6,3
13,14,6,3
14,15,6,3
15,16,6,3
0,13,3,4
1,14,3,4
2,15,3,4
3,16,3,4
4,13,4,4
5,14,4,4
6,15,4,4
7,16,4,4
8,13,5,4
9,14,5,4
10,15,5,4
11,16,5,4
12,13,6,4
13,14,6,4
14,15,6,4
15,16,6,4
0,13,3,5
1,14,3,5
2,15,3,5
3,16,3,5
4,13,4,5
5,14,4,5
6,15,4,5
7,13,5,5
8,14,5,5
9,15,5,5
10,16,5,5
11,13,6,5
12,14,6,5
13,15,6,5
14,16,6,5
0,13,3,6
1,14,3,6
2,15,3,6
3,16,3,6
4,13,4,6
5,14,4,6
6,15,4,6
7,13,5,6
8,15,5,6
9,16,5,6
10,13,6,6
11,14,6,6
12,15,6,6
13,16,6,6
0,13,3,7
1,14,3,7
2,15,3,7
3,16,3,7
4,13,4,7
5,14,4,7
6,15,4,7
7,13,5,7
8,15,5,7
9,16,5,7
10,13,6,7
11,14,6,7
12,16,6,7
0,13,3,8
1,14,3,8
2,16,3,8
3,13,4,8
4,14,4,8
5,15,4,8
6,13,5,8
7,15,5,8
8,16,5,8
9,13,6,8
10,14,6,8
11,16,6,8
0,13,3,9
1,14,3,9
2,16,3,9
3,13,4,9
4,14,4,9
5,15,4,9
6,15,5,9
7,16,5,9
8,13,6,9
9,14,6,9
10,16,6,9
0,13,3,10
1,16,3,10
2,13,4,10
3,14,4,10
4,15,4,10
5,15,5,10
6,16,5,10
7,13,6,10
8,14,6,10
9,16,6,10
0,13,3,11
1,13,4,11
2,14,4,11
3,15,4,11
4,15,5,11
5,16,5,11
6,13,6,11
7,14,6,11
8,16,6,11
0,13,3,12
1,13,4,12
2,14,4,12
3,15,4,12
4,15,5,12
5,13,6,12
6,14,6,12
7,16,6,12
0,13,3,13
1,13,4,13
2,14,4,13
3,15,4,13
4,15,5,13
5,13,6,13
6,16,6,13
0,13,3,14
1,13,4,14
2,14,4,14
3,15,4,14
4,15,5,14
5,13,6,14
0,13,3,15
1,13,4,15
2,14,4,15
3,15,5,15
4,13,6,15
0,13,4,16
1,14,4,16
2,15,5,16
3,13,6,16
0,14,4,17
1,15,5,17
2,13,6,17
0,14,4,18
1,13,6,18
0,13,6,19
0,5,7,20
1,6,7,20
2,7,7,20
3,8,7,20
4,5,8,20
5,6,8,20
6,7,8,20
7,8,8,20
8,5,9,20
9,6,9,20
10,7,9,20
11,8,9,20
12,5,10,20
13,6,10,20
14,7,10,20
15,8,10,20
0,5,7,21
1,6,7,21
2,7,7,21
3,8,7,21
4,5,8,21
5,6,8,21
6,7,8,21
7,8,8,21
8,5,9,21
9,6,9,21
10,7,9,21
11,8,9,21
12,5,10,21
13,6,10,21
14,7,10,21
15,8,10,21
0,5,7,22
1,6,7,22
2,7,7,22
3,8,7,22
4,5,8,22
5,6,8,22
6,7,8,22
7,8,8,22
8,5,9,22
9,6,9,22
10,7,9,22
11,8,9,22
12,5,10,22
13,6,10,22
14,7,10,22
15,8,10,22
0,5,7,23
1,6,7,23
2,7,7,23
3,8,7,23
4,5,8,23
5,6,8,23
6,7,8,23
7,8,8,23
8,5,9,23
9,6,9,23
10,7,9,23
11,8,9,23
12,5,10,23
13,6,10,23
14,7,10,23
15,8,10,23
0,5,7,24
1,6,7,24
2,7,7,24
3,8,7,24
4,5,8,24
5,6,8,24
6,8,8,24
7,5,9,24
8,6,9,24
9,7,9,24
10,8,9,24
11,5,10,24
12,6,10,24
13,7,10,24
14,8,10,24
0,5,7,25
1,6,7,25
2,7,7,25
3,5,8,25
4,6,8,25
5,8,8,25
6,5,9,25
7,6,9,25
8,7,9,25
9,8,9,25
10,5,10,25
11,6,10,25
12,7,10,25
13,8,10,25
0,5,7,26
1,6,7,26
2,7,7,26
3,5,8,26
4,6,8,26
5,8,8,26
6,5,9,26
7,7,9,26
8,8,9,26
9,5,10,26
10,6,10,26
11,7,10,26
12,8,10,26
0,5,7,27
1,6,7,27
2,7,7,27
3,5,8,27
4,6,8,27
5,8,8,27
6,7,9,27
7,8,9,27
8,5,10,27
9,6,10,27
10,7,10,27
11,8,10,27
0,5,7,28
1,6,7,28
2,7,7,28
3,5,8,28
4,6,8,28
5,8,8,28
6,7,9,28
7,8,9,28
8,5,10,28
9,7,10,28
10,8,10,28
0,5,7,29
1,6,7,29
2,7,7,29
3,6,8,29
4,8,8,29
5,7,9,29
6,8,9,29
7,5,10,29
8,7,10,29
9,8,10,29
0,5,7,30
1,6,7,30
2,7,7,30
3,6,8,30
4,8,8,30
5,7,9,30
6,8,9,30
7,5,10,30
8,8,10,30
0,5,7,31
1,6,7,31
2,7,7,31
3,6,8,31
4,8,8,31
5,7,9,31
6,5,10,31
7,8,10,31
0,5,7,32
1,7,7,32
2,6,8,32
3,8,8,32
4,7,9,32
5,5,10,32
6,8,10,32
0,7,7,33
1,6,8,33
2,8,8,33
3,7,9,33
4,5,10,33
5,8,10,33
0,7,7,34
1,6,8,34
2,8,8,34
3,7,9,34
4,8,10,34
0,7,7,35
1,6,8,35
2,8,8,35
3,7,9,35
0,7,7,36
1,8,8,36
2,7,9,36
0,7,7,37
1,7,9,37
0,7,9,38
0,25,15,39
1,26,15,39
2,27,15,39
3,28,15,39
4,25,16,39
5,26,16,39
6,27,16,39
7,28,16,39
8,25,17,39
9,26,17,39
10,27,17,39
11,28,17,39
12,25,18,39
13,26,18,39
14,27,18,39
15,28,18,39
0,25,15,40
1,26,15,40
2,27,15,40
3,28,15,40
4,25,16,40
5,26,16,40
6,27,16,40
7,28,16,40
8,25,17,40
9,26,17,40
10,27,17,40
11,28,17,40
12,25,18,40
13,26,18,40
14,27,18,40
15,28,18,40
0,25,15,41
1,26,15,41
2,27,15,41
3,28,15,41
4,25,16,41
5,26,16,41
6,27,16,41
7,28,16,41
8,25,17,41
9,26,17,41
10,27,17,41
11,28,17,41
12,25,18,41
13,26,18,41
14,27,18,41
15,28,18,41
0,25,15,42
1,26,15,42
2,27,15,42
3,28,15,42
4,25,16,42
5,26,16,42
6,27,16,42
7,28,16,42
8,25,17,42
9,26,17,42
10,27,17,42
11,28,17,42
12,25,18,42
13,26,18,42
14,27,18,42
15,28,18,42
0,25,15,43
1,26,15,43
2,27,15,43
3,28,15,43
4,25,16,43
5,26,16,43
6,27,16,43
7,28,16,43
8,25,17,43
9,26,17,43
10,27,17,43
11,28,17,43
12,25,18,43
13,26,18,43
14,27,18,43
15,28,18,43
0,25,15,44
1,26,15,44
2,27,15,44
3,28,15,44
4,25,16,44
5,26,16,44
6,27,16,44
7,28,16,44
8,25,17,44
9,26,17,44
10,27,17,44
11,28,17,44
12,25,18,44
13,26,18,44
14,27,18,44
15,28,18,44
0,25,15,45
1,26,15,45
2,27,15,45
3,28,15,45
4,25,16,45
5,26,16,45
6,27,16,45
7,28,16,45
8,25,17,45
9,26,17,45
10,27,17,45
11,28,17,45
12,25,18,45
13,26,18,45
14,27,18,45
15,28,18,45
0,25,15,46
1,26,15,46
2,27,15,46
3,28,15,46
4,25,16,46
5,26,16,46
6,27,16,46
7,28,16,46
8,25,17,46
9,26,17,46
10,27,17,46
11,28,17,46
12,25,18,46
13,26,18,46
14,27,18,46
15,28,18,46
0,25,15,47
1,26,15,47
2,27,15,47
3,28,15,47
4,25,16,47
5,26,16,47
6,27,16,47
7,28,16,47
8,25,17,47
9,26,17,47
10,27,17,47
11,28,17,47
12,25,18,47
13,26,18,47
14,27,18,47
15,28,18,47
0,25,15,48
1,26,15,48
2,27,15,48
3,28,15,48
4,25,16,48
5,26,16,48
6,27,16,48
7,28,16,48
8,25,17,48
9,26,17,48
10,27,17,48
11,28,17,48
12,25,18,48
13,26,18,48
14,27,18,48
15,28,18,48
0,25,15,49
1,26,15,49
2,27,15,49
3,28,15,49
4,25,16,49
5,26,16,49
6,27,16,49
7,28,16,49
8,25,17,49
9,26,17,49
10,27,17,49
11,28,17,49
12,25,18,49
13,26,18,49
14,27,18,49
15,28,18,49
