,x,y,time,forager,type
34,25.0,1.0,35,2,communicators
35,27.0,3.0,36,2,communicators
36,27.0,6.0,37,2,communicators
37,27.0,9.0,38,2,communicators
38,27.0,10.0,39,2,communicators
39,27.0,9.0,40,2,communicators
40,26.0,10.0,41,2,communicators
41,26.0,9.0,42,2,communicators
42,27.0,10.0,43,2,communicators
43,25.0,12.0,44,2,communicators
44,22.0,12.0,45,2,communicators
45,22.0,15.0,46,2,communicators
46,19.0,15.0,47,2,communicators
47,16.0,15.0,48,2,communicators
48,15.0,16.0,49,2,communicators
49,16.0,16.0,50,2,communicators
50,16.0,15.0,51,2,communicators
51,15.0,15.0,52,2,communicators
52,15.0,16.0,53,2,communicators
53,16.0,14.0,54,2,communicators
54,18.0,12.0,55,2,communicators
55,20.0,14.0,56,2,communicators
56,20.0,17.0,57,2,communicators
57,21.0,19.0,58,2,communicators
58,22.0,18.0,59,2,communicators
59,20.0,20.0,60,2,communicators
60,21.0,22.0,61,2,communicators
61,22.0,24.0,62,2,communicators
62,24.0,26.0,63,2,communicators
63,26.0,28.0,64,2,communicators
64,26.0,27.0,65,2,communicators
65,25.0,27.0,66,2,communicators
66,25.0,28.0,67,2,communicators
67,26.0,28.0,68,2,communicators
68,25.0,28.0,69,2,communicators
69,25.0,29.0,70,2,communicators
70,27.0,29.0,71,2,communicators
71,25.0,30.0,72,2,communicators
72,25.0,27.0,73,2,communicators
73,26.0,29.0,74,2,communicators
74,28.0,31.0,75,2,communicators
75,29.0,31.0,76,2,communicators
76,28.0,32.0,77,2,communicators
77,29.0,32.0,78,2,communicators
78,31.0,34.0,79,2,communicators
79,29.0,33.0,80,2,communicators
80,31.0,33.0,81,2,communicators
81,31.0,30.0,82,2,communicators
82,29.0,30.0,83,2,communicators
83,30.0,31.0,84,2,communicators
84,29.0,32.0,85,2,communicators
85,27.0,32.0,86,2,communicators
86,27.0,29.0,87,2,communicators
87,29.0,30.0,88,2,communicators
88,26.0,30.0,89,2,communicators
89,27.0,28.0,90,2,communicators
90,28.0,28.0,91,2,communicators
91,26.0,27.0,92,2,communicators
92,26.0,24.0,93,2,communicators
93,26.0,26.0,94,2,communicators
94,27.0,28.0,95,2,communicators
95,27.0,30.0,96,2,communicators
96,28.0,29.0,97,2,communicators
97,25.0,29.0,98,2,communicators
98,26.0,29.0,99,2,communicators
99,27.0,31.0,100,2,communicators
100,26.0,31.0,101,2,communicators
101,26.0,31.0,102,2,communicators
102,28.0,29.0,103,2,communicators
103,30.0,31.0,104,2,communicators
104,30.0,28.0,105,2,communicators
