,c_trust,sight_radius,reward_patch_dim,sim index
0,0.0,5,1,0
1,0.0,5,2,1
2,0.0,5,4,2
3,0.005,5,1,3
4,0.005,5,2,4
5,0.005,5,4,5
6,0.01,5,1,6
7,0.01,5,2,7
8,0.01,5,4,8
9,0.015,5,1,9
10,0.015,5,2,10
11,0.015,5,4,11
12,0.02,5,1,12
13,0.02,5,2,13
14,0.02,5,4,14
15,0.025,5,1,15
16,0.025,5,2,16
17,0.025,5,4,17
18,0.030000000000000002,5,1,18
19,0.030000000000000002,5,2,19
20,0.030000000000000002,5,4,20
21,0.035,5,1,21
22,0.035,5,2,22
23,0.035,5,4,23
24,0.04,5,1,24
25,0.04,5,2,25
26,0.04,5,4,26
27,0.045,5,1,27
28,0.045,5,2,28
29,0.045,5,4,29
30,0.049999999999999996,5,1,30
31,0.049999999999999996,5,2,31
32,0.049999999999999996,5,4,32
33,0.05499999999999999,5,1,33
34,0.05499999999999999,5,2,34
35,0.05499999999999999,5,4,35
36,0.05999999999999999,5,1,36
37,0.05999999999999999,5,2,37
38,0.05999999999999999,5,4,38
39,0.06499999999999999,5,1,39
40,0.06499999999999999,5,2,40
41,0.06499999999999999,5,4,41
42,0.06999999999999999,5,1,42
43,0.06999999999999999,5,2,43
44,0.06999999999999999,5,4,44
45,0.075,5,1,45
46,0.075,5,2,46
47,0.075,5,4,47
48,0.08,5,1,48
49,0.08,5,2,49
50,0.08,5,4,50
51,0.085,5,1,51
52,0.085,5,2,52
53,0.085,5,4,53
54,0.09000000000000001,5,1,54
55,0.09000000000000001,5,2,55
56,0.09000000000000001,5,4,56
57,0.09500000000000001,5,1,57
58,0.09500000000000001,5,2,58
59,0.09500000000000001,5,4,59
60,0.10000000000000002,5,1,60
61,0.10000000000000002,5,2,61
62,0.10000000000000002,5,4,62
63,0.10500000000000002,5,1,63
64,0.10500000000000002,5,2,64
65,0.10500000000000002,5,4,65
66,0.11000000000000003,5,1,66
67,0.11000000000000003,5,2,67
68,0.11000000000000003,5,4,68
69,0.11500000000000003,5,1,69
70,0.11500000000000003,5,2,70
71,0.11500000000000003,5,4,71
72,0.12000000000000004,5,1,72
73,0.12000000000000004,5,2,73
74,0.12000000000000004,5,4,74
75,0.12500000000000003,5,1,75
76,0.12500000000000003,5,2,76
77,0.12500000000000003,5,4,77
78,0.13000000000000003,5,1,78
79,0.13000000000000003,5,2,79
80,0.13000000000000003,5,4,80
81,0.13500000000000004,5,1,81
82,0.13500000000000004,5,2,82
83,0.13500000000000004,5,4,83
84,0.14000000000000004,5,1,84
85,0.14000000000000004,5,2,85
86,0.14000000000000004,5,4,86
87,0.14500000000000005,5,1,87
88,0.14500000000000005,5,2,88
89,0.14500000000000005,5,4,89
90,0.15000000000000005,5,1,90
91,0.15000000000000005,5,2,91
92,0.15000000000000005,5,4,92
93,0.15500000000000005,5,1,93
94,0.15500000000000005,5,2,94
95,0.15500000000000005,5,4,95
96,0.16000000000000006,5,1,96
97,0.16000000000000006,5,2,97
98,0.16000000000000006,5,4,98
99,0.16500000000000006,5,1,99
100,0.16500000000000006,5,2,100
101,0.16500000000000006,5,4,101
102,0.17000000000000007,5,1,102
103,0.17000000000000007,5,2,103
104,0.17000000000000007,5,4,104
105,0.17500000000000007,5,1,105
106,0.17500000000000007,5,2,106
107,0.17500000000000007,5,4,107
108,0.18000000000000008,5,1,108
109,0.18000000000000008,5,2,109
110,0.18000000000000008,5,4,110
111,0.18500000000000008,5,1,111
112,0.18500000000000008,5,2,112
113,0.18500000000000008,5,4,113
114,0.19000000000000009,5,1,114
115,0.19000000000000009,5,2,115
116,0.19000000000000009,5,4,116
117,0.1950000000000001,5,1,117
118,0.1950000000000001,5,2,118
119,0.1950000000000001,5,4,119
120,0.2000000000000001,5,1,120
121,0.2000000000000001,5,2,121
122,0.2000000000000001,5,4,122
123,0.2050000000000001,5,1,123
124,0.2050000000000001,5,2,124
125,0.2050000000000001,5,4,125
126,0.2100000000000001,5,1,126
127,0.2100000000000001,5,2,127
128,0.2100000000000001,5,4,128
129,0.2150000000000001,5,1,129
130,0.2150000000000001,5,2,130
131,0.2150000000000001,5,4,131
132,0.2200000000000001,5,1,132
133,0.2200000000000001,5,2,133
134,0.2200000000000001,5,4,134
135,0.22500000000000012,5,1,135
136,0.22500000000000012,5,2,136
137,0.22500000000000012,5,4,137
138,0.23000000000000012,5,1,138
139,0.23000000000000012,5,2,139
140,0.23000000000000012,5,4,140
141,0.23500000000000013,5,1,141
142,0.23500000000000013,5,2,142
143,0.23500000000000013,5,4,143
144,0.24000000000000013,5,1,144
145,0.24000000000000013,5,2,145
146,0.24000000000000013,5,4,146
147,0.24500000000000013,5,1,147
148,0.24500000000000013,5,2,148
149,0.24500000000000013,5,4,149
150,0.2500000000000001,5,1,150
151,0.2500000000000001,5,2,151
152,0.2500000000000001,5,4,152
153,0.2550000000000001,5,1,153
154,0.2550000000000001,5,2,154
155,0.2550000000000001,5,4,155
156,0.2600000000000001,5,1,156
157,0.2600000000000001,5,2,157
158,0.2600000000000001,5,4,158
159,0.2650000000000001,5,1,159
160,0.2650000000000001,5,2,160
161,0.2650000000000001,5,4,161
162,0.27000000000000013,5,1,162
163,0.27000000000000013,5,2,163
164,0.27000000000000013,5,4,164
165,0.27500000000000013,5,1,165
166,0.27500000000000013,5,2,166
167,0.27500000000000013,5,4,167
168,0.28000000000000014,5,1,168
169,0.28000000000000014,5,2,169
170,0.28000000000000014,5,4,170
171,0.28500000000000014,5,1,171
172,0.28500000000000014,5,2,172
