,x,y,time
0,1,0,1
1,15,0,1
2,13,5,1
3,17,7,1
4,1,10,1
5,6,14,1
6,12,16,1
7,19,16,1
8,15,18,1
9,28,19,1
10,15,22,1
11,17,25,1
12,5,26,1
13,28,26,1
14,8,28,1
15,20,28,1
0,1,0,2
1,15,0,2
2,13,5,2
3,17,7,2
4,1,10,2
5,6,14,2
6,12,16,2
7,19,16,2
8,15,18,2
9,28,19,2
10,15,22,2
11,17,25,2
12,5,26,2
13,28,26,2
14,8,28,2
15,20,28,2
0,1,0,3
1,15,0,3
2,13,5,3
3,17,7,3
4,1,10,3
5,6,14,3
6,12,16,3
7,19,16,3
8,15,18,3
9,28,19,3
10,15,22,3
11,17,25,3
12,5,26,3
13,28,26,3
14,20,28,3
0,1,0,4
1,15,0,4
2,13,5,4
3,17,7,4
4,1,10,4
5,12,16,4
6,19,16,4
7,15,18,4
8,28,19,4
9,15,22,4
10,17,25,4
11,5,26,4
12,28,26,4
0,1,0,5
1,15,0,5
2,13,5,5
3,17,7,5
4,1,10,5
5,12,16,5
6,19,16,5
7,15,18,5
8,28,19,5
9,15,22,5
10,17,25,5
11,28,26,5
0,1,0,6
1,15,0,6
2,17,7,6
3,1,10,6
4,12,16,6
5,19,16,6
6,15,18,6
7,28,19,6
8,15,22,6
9,17,25,6
10,28,26,6
0,1,0,7
1,15,0,7
2,17,7,7
3,1,10,7
4,12,16,7
5,19,16,7
6,15,18,7
7,28,19,7
8,15,22,7
9,28,26,7
0,1,0,8
1,17,7,8
2,1,10,8
3,12,16,8
4,19,16,8
5,15,18,8
6,28,19,8
7,15,22,8
8,28,26,8
0,1,0,9
1,17,7,9
2,1,10,9
3,19,16,9
4,15,18,9
5,28,19,9
6,15,22,9
7,28,26,9
0,1,0,10
1,17,7,10
2,1,10,10
3,19,16,10
4,15,18,10
5,28,19,10
6,28,26,10
0,1,0,11
1,17,7,11
2,1,10,11
3,19,16,11
4,15,18,11
5,28,19,11
6,28,26,11
0,1,0,12
1,1,10,12
2,19,16,12
3,28,19,12
4,28,26,12
0,1,0,13
1,1,10,13
2,19,16,13
3,28,19,13
4,28,26,13
0,1,0,14
1,1,10,14
2,28,19,14
3,28,26,14
0,1,0,15
1,1,10,15
2,28,19,15
3,28,26,15
0,1,0,16
1,1,10,16
2,28,19,16
3,28,26,16
0,1,0,17
1,1,10,17
2,28,19,17
3,28,26,17
0,1,0,18
1,1,10,18
2,28,19,18
3,28,26,18
0,1,0,19
1,1,10,19
2,28,19,19
3,28,26,19
0,1,0,20
1,1,10,20
2,28,19,20
3,28,26,20
0,1,0,21
1,1,10,21
2,28,19,21
3,28,26,21
0,1,0,22
1,1,10,22
2,28,26,22
0,1,0,23
1,1,10,23
2,28,26,23
0,1,0,24
1,1,10,24
2,28,26,24
0,1,0,25
1,1,10,25
2,28,26,25
0,1,0,26
1,1,10,26
2,28,26,26
0,1,0,27
1,1,10,27
0,1,0,28
1,1,10,28
0,1,0,29
1,1,10,29
0,1,0,30
1,1,10,30
0,1,0,31
1,1,10,31
0,1,0,32
1,1,10,32
0,1,0,33
1,1,10,33
0,1,0,34
1,1,10,34
0,1,0,35
1,1,10,35
0,1,0,36
1,1,10,36
0,1,0,37
1,1,10,37
0,1,0,38
1,1,10,38
0,1,0,39
1,1,10,39
0,1,0,40
1,1,10,40
0,1,0,41
1,1,10,41
0,1,0,42
1,1,10,42
0,1,0,43
1,1,10,43
0,1,0,44
1,1,10,44
0,1,0,45
1,1,10,45
0,1,0,46
1,1,10,46
0,1,0,47
1,1,10,47
0,1,0,48
1,1,10,48
0,1,0,49
1,1,10,49
