,x,y,time
0,20,20,1
1,21,20,1
2,22,20,1
3,23,20,1
4,20,21,1
5,21,21,1
6,22,21,1
7,23,21,1
8,20,22,1
9,21,22,1
10,22,22,1
11,23,22,1
12,20,23,1
13,21,23,1
14,22,23,1
15,23,23,1
0,20,20,2
1,21,20,2
2,22,20,2
3,23,20,2
4,20,21,2
5,21,21,2
6,22,21,2
7,23,21,2
8,20,22,2
9,21,22,2
10,22,22,2
11,23,22,2
12,20,23,2
13,21,23,2
14,22,23,2
15,23,23,2
0,20,20,3
1,21,20,3
2,22,20,3
3,23,20,3
4,20,21,3
5,21,21,3
6,22,21,3
7,23,21,3
8,20,22,3
9,21,22,3
10,22,22,3
11,23,22,3
12,20,23,3
13,21,23,3
14,22,23,3
15,23,23,3
0,20,20,4
1,21,20,4
2,22,20,4
3,23,20,4
4,20,21,4
5,21,21,4
6,22,21,4
7,23,21,4
8,20,22,4
9,21,22,4
10,22,22,4
11,23,22,4
12,20,23,4
13,21,23,4
14,22,23,4
15,23,23,4
0,20,20,5
1,21,20,5
2,22,20,5
3,23,20,5
4,20,21,5
5,21,21,5
6,22,21,5
7,23,21,5
8,20,22,5
9,21,22,5
10,22,22,5
11,23,22,5
12,20,23,5
13,21,23,5
14,22,23,5
15,23,23,5
0,21,20,6
1,22,20,6
2,23,20,6
3,20,21,6
4,21,21,6
5,22,21,6
6,23,21,6
7,20,22,6
8,21,22,6
9,22,22,6
10,23,22,6
11,20,23,6
12,21,23,6
13,22,23,6
14,23,23,6
0,21,20,7
1,22,20,7
2,23,20,7
3,20,21,7
4,21,21,7
5,22,21,7
6,23,21,7
7,21,22,7
8,22,22,7
9,23,22,7
10,20,23,7
11,21,23,7
12,22,23,7
13,23,23,7
0,21,20,8
1,22,20,8
2,23,20,8
3,20,21,8
4,21,21,8
5,22,21,8
6,23,21,8
7,21,22,8
8,22,22,8
9,23,22,8
10,20,23,8
11,21,23,8
12,23,23,8
0,21,20,9
1,22,20,9
2,23,20,9
3,21,21,9
4,22,21,9
5,23,21,9
6,21,22,9
7,22,22,9
8,23,22,9
9,20,23,9
10,21,23,9
11,23,23,9
0,21,20,10
1,22,20,10
2,23,20,10
3,21,21,10
4,22,21,10
5,21,22,10
6,22,22,10
7,23,22,10
8,20,23,10
9,21,23,10
10,23,23,10
0,22,20,11
1,23,20,11
2,21,21,11
3,22,21,11
4,21,22,11
5,22,22,11
6,23,22,11
7,20,23,11
8,21,23,11
9,23,23,11
0,22,20,12
1,23,20,12
2,21,21,12
3,22,21,12
4,21,22,12
5,22,22,12
6,20,23,12
7,21,23,12
8,23,23,12
0,22,20,13
1,23,20,13
2,21,21,13
3,22,21,13
4,21,22,13
5,22,22,13
6,20,23,13
7,23,23,13
0,22,20,14
1,23,20,14
2,21,21,14
3,22,21,14
4,21,22,14
5,22,22,14
6,20,23,14
0,22,20,15
1,23,20,15
2,21,21,15
3,21,22,15
4,22,22,15
5,20,23,15
0,23,20,16
1,21,21,16
2,21,22,16
3,22,22,16
4,20,23,16
0,23,20,17
1,21,21,17
2,22,22,17
3,20,23,17
0,23,20,18
1,21,21,18
2,20,23,18
0,23,20,19
1,21,21,19
0,23,20,20
0,24,24,21
1,25,24,21
2,26,24,21
3,27,24,21
4,24,25,21
5,25,25,21
6,26,25,21
7,27,25,21
8,24,26,21
9,25,26,21
10,26,26,21
11,27,26,21
12,24,27,21
13,25,27,21
14,26,27,21
15,27,27,21
0,24,24,22
1,25,24,22
2,26,24,22
3,27,24,22
4,24,25,22
5,25,25,22
6,26,25,22
7,27,25,22
8,24,26,22
9,25,26,22
10,26,26,22
11,27,26,22
12,24,27,22
13,25,27,22
14,26,27,22
15,27,27,22
0,24,24,23
1,25,24,23
2,26,24,23
3,27,24,23
4,24,25,23
5,26,25,23
6,27,25,23
7,24,26,23
8,25,26,23
9,26,26,23
10,27,26,23
11,24,27,23
12,25,27,23
13,26,27,23
14,27,27,23
0,24,24,24
1,25,24,24
2,26,24,24
3,27,24,24
4,24,25,24
5,26,25,24
6,27,25,24
7,24,26,24
8,25,26,24
9,27,26,24
10,24,27,24
11,25,27,24
12,26,27,24
13,27,27,24
0,24,24,25
1,25,24,25
2,26,24,25
3,27,24,25
4,24,25,25
5,26,25,25
6,27,25,25
7,24,26,25
8,27,26,25
9,24,27,25
10,25,27,25
11,26,27,25
12,27,27,25
0,24,24,26
1,25,24,26
2,26,24,26
3,27,24,26
4,24,25,26
5,27,25,26
6,24,26,26
7,27,26,26
8,24,27,26
9,25,27,26
10,26,27,26
11,27,27,26
0,24,24,27
1,25,24,27
2,26,24,27
3,27,24,27
4,24,25,27
5,27,25,27
