,x,y,time
0,5,4,1
1,6,4,1
2,5,5,1
3,6,5,1
4,19,16,1
5,20,16,1
6,19,17,1
7,20,17,1
8,25,24,1
9,26,24,1
10,25,25,1
11,26,25,1
12,6,27,1
13,7,27,1
14,6,28,1
15,7,28,1
0,5,4,2
1,6,4,2
2,5,5,2
3,6,5,2
4,19,16,2
5,20,16,2
6,19,17,2
7,20,17,2
8,25,24,2
9,26,24,2
10,25,25,2
11,26,25,2
12,6,27,2
13,7,27,2
14,6,28,2
15,7,28,2
0,5,4,3
1,6,4,3
2,5,5,3
3,6,5,3
4,19,16,3
5,20,16,3
6,19,17,3
7,20,17,3
8,25,24,3
9,26,24,3
10,25,25,3
11,26,25,3
12,6,27,3
13,7,27,3
14,6,28,3
15,7,28,3
0,5,4,4
1,6,4,4
2,5,5,4
3,6,5,4
4,19,16,4
5,20,16,4
6,19,17,4
7,20,17,4
8,25,24,4
9,26,24,4
10,25,25,4
11,26,25,4
12,6,27,4
13,7,27,4
14,6,28,4
15,7,28,4
0,5,4,5
1,6,4,5
2,5,5,5
3,6,5,5
4,19,16,5
5,20,16,5
6,19,17,5
7,20,17,5
8,25,24,5
9,26,24,5
10,25,25,5
11,26,25,5
12,6,27,5
13,7,27,5
14,6,28,5
15,7,28,5
0,5,4,6
1,6,4,6
2,5,5,6
3,6,5,6
4,20,16,6
5,19,17,6
6,25,24,6
7,26,24,6
8,25,25,6
9,26,25,6
10,6,27,6
11,7,27,6
12,6,28,6
13,7,28,6
0,5,4,7
1,6,4,7
2,5,5,7
3,6,5,7
4,20,16,7
5,25,24,7
6,26,24,7
7,25,25,7
8,26,25,7
9,6,27,7
10,7,27,7
11,6,28,7
12,7,28,7
0,5,4,8
1,6,4,8
2,5,5,8
3,25,24,8
4,26,24,8
5,25,25,8
6,26,25,8
7,6,27,8
8,7,27,8
9,6,28,8
10,7,28,8
0,5,4,9
1,5,5,9
2,25,24,9
3,26,24,9
4,25,25,9
5,26,25,9
6,6,27,9
7,7,27,9
8,6,28,9
9,7,28,9
0,5,4,10
1,25,24,10
2,26,24,10
3,25,25,10
4,26,25,10
5,6,27,10
6,7,27,10
7,6,28,10
8,7,28,10
0,25,24,11
1,26,24,11
2,25,25,11
3,26,25,11
4,6,27,11
5,7,27,11
6,6,28,11
7,7,28,11
0,26,24,12
1,25,25,12
2,26,25,12
3,6,27,12
4,7,27,12
5,6,28,12
6,7,28,12
0,26,24,13
1,25,25,13
2,6,27,13
3,7,27,13
4,6,28,13
5,7,28,13
0,25,25,14
1,6,27,14
2,7,27,14
3,6,28,14
4,7,28,14
0,6,27,15
1,7,27,15
2,6,28,15
3,7,28,15
0,6,27,16
1,7,27,16
2,6,28,16
3,7,28,16
0,6,27,17
1,7,27,17
2,6,28,17
3,7,28,17
0,6,27,18
1,7,27,18
2,6,28,18
3,7,28,18
0,6,27,19
1,7,27,19
2,6,28,19
3,7,28,19
0,6,27,20
1,7,27,20
2,6,28,20
3,7,28,20
0,6,27,21
1,7,27,21
2,6,28,21
3,7,28,21
0,6,27,22
1,7,27,22
2,6,28,22
3,7,28,22
0,6,27,23
1,7,27,23
2,6,28,23
3,7,28,23
0,6,27,24
1,7,27,24
2,6,28,24
3,7,28,24
0,6,27,25
1,7,27,25
2,6,28,25
3,7,28,25
0,6,27,26
1,7,27,26
2,6,28,26
3,7,28,26
0,6,27,27
1,7,27,27
2,6,28,27
3,7,28,27
0,6,27,28
1,7,27,28
2,6,28,28
3,7,28,28
0,6,27,29
1,7,27,29
2,6,28,29
3,7,28,29
0,6,27,30
1,7,27,30
2,6,28,30
3,7,28,30
0,6,27,31
1,7,27,31
2,6,28,31
3,7,28,31
0,6,27,32
1,7,27,32
2,6,28,32
3,7,28,32
0,6,27,33
1,7,27,33
2,6,28,33
3,7,28,33
0,6,27,34
1,7,27,34
2,6,28,34
3,7,28,34
0,6,27,35
1,7,27,35
2,6,28,35
3,7,28,35
0,6,27,36
1,7,27,36
2,6,28,36
0,6,27,37
1,7,27,37
2,6,28,37
0,6,27,38
1,7,27,38
2,6,28,38
0,6,27,39
1,7,27,39
0,7,27,40
0,24,1,41
1,25,1,41
2,24,2,41
3,25,2,41
4,0,3,41
5,1,3,41
6,0,4,41
7,1,4,41
8,18,14,41
9,19,14,41
10,18,15,41
11,19,15,41
12,16,18,41
13,17,18,41
14,16,19,41
15,17,19,41
0,24,1,42
1,25,1,42
2,24,2,42
3,25,2,42
4,0,3,42
5,1,3,42
6,0,4,42
7,1,4,42
8,18,14,42
9,19,14,42
10,18,15,42
11,19,15,42
12,16,18,42
13,17,18,42
14,16,19,42
15,17,19,42
0,24,1,43
1,25,1,43
2,24,2,43
3,25,2,43
4,0,3,43
5,1,3,43
6,0,4,43
7,1,4,43
8,18,14,43
9,19,14,43
10,18,15,43
11,19,15,43
12,16,18,43
13,17,18,43
14,16,19,43
15,17,19,43
0,24,1,44
1,25,1,44
2,24,2,44
3,25,2,44
4,0,3,44
5,1,3,44
6,0,4,44
7,1,4,44
8,18,14,44
9,19,14,44
10,18,15,44
11,19,15,44
12,16,18,44
13,17,18,44
14,16,19,44
15,17,19,44
0,24,1,45
1,25,1,45
2,24,2,45
3,25,2,45
4,0,3,45
5,1,3,45
6,0,4,45
7,1,4,45
8,18,14,45
9,19,14,45
10,18,15,45
11,19,15,45
12,16,18,45
13,17,18,45
14,16,19,45
15,17,19,45
0,24,1,46
1,25,1,46
2,24,2,46
3,25,2,46
4,0,3,46
5,1,3,46
6,0,4,46
7,1,4,46
8,18,14,46
9,19,14,46
10,18,15,46
11,19,15,46
12,16,18,46
13,17,18,46
14,16,19,46
0,24,1,47
1,25,1,47
2,24,2,47
3,25,2,47
4,0,3,47
5,1,3,47
6,0,4,47
7,1,4,47
8,18,14,47
9,19,14,47
10,18,15,47
11,19,15,47
12,16,18,47
13,16,19,47
0,24,1,48
1,25,1,48
2,24,2,48
3,25,2,48
4,0,3,48
5,1,3,48
6,0,4,48
7,1,4,48
8,18,14,48
9,19,14,48
10,18,15,48
11,19,15,48
12,16,19,48
0,24,1,49
1,25,1,49
2,24,2,49
3,25,2,49
4,0,3,49
5,1,3,49
6,0,4,49
7,1,4,49
8,18,14,49
9,19,14,49
10,18,15,49
11,19,15,49
12,16,19,49
