,c_trust,sight_radius,reward_patch_dim,sim index,run index,time to first food,num birds failed
122,0.11,5,4,58,0,7.11111111111111,0
123,0.11,5,4,58,1,8.44444444444444,0
124,0.11,5,5,59,0,20.3333333333333,0
125,0.11,5,5,59,1,49.5555555555556,8
126,0.12,5,1,60,0,2,0
127,0.12,5,1,60,1,3.22222222222222,0
128,0.12,5,2,61,0,3.11111111111111,0
129,0.12,5,2,61,1,3.77777777777778,0
130,0.12,5,3,62,0,28.8888888888889,3
131,0.12,5,3,62,1,9.55555555555556,0
132,0.12,5,4,63,0,3.77777777777778,0
133,0.12,5,4,63,1,15.3333333333333,1
134,0.12,5,5,64,0,16.7777777777778,1
135,0.12,5,5,64,1,36.2222222222222,0
136,0.13,5,1,65,0,1.77777777777778,0
137,0.13,5,1,65,1,1.77777777777778,0
138,0.13,5,2,66,0,3.22222222222222,0
139,0.13,5,2,66,1,8.22222222222222,0
140,0.13,5,3,67,0,4.44444444444444,0
141,0.13,5,3,67,1,4.11111111111111,0
142,0.13,5,4,68,0,10.4444444444444,0
143,0.13,5,4,68,1,6,0
144,0.13,5,5,69,0,7.33333333333333,0
145,0.13,5,5,69,1,8.22222222222222,0
146,0.14,5,1,70,0,2.11111111111111,0
147,0.14,5,1,70,1,1.22222222222222,0
148,0.14,5,2,71,0,4.55555555555556,0
149,0.14,5,2,71,1,5.33333333333333,0
150,0.14,5,3,72,0,4.66666666666667,0
151,0.14,5,3,72,1,4.11111111111111,0
152,0.14,5,4,73,0,6.22222222222222,0
153,0.14,5,4,73,1,4.88888888888889,0
154,0.14,5,5,74,0,8.33333333333333,0
155,0.14,5,5,74,1,8.44444444444444,0
156,0.15,5,1,75,0,1.33333333333333,0
157,0.15,5,1,75,1,2.88888888888889,0
158,0.15,5,2,76,0,4.66666666666667,0
159,0.15,5,2,76,1,3.22222222222222,0
160,0.15,5,3,77,0,5,0
161,0.15,5,3,77,1,15.8888888888889,1
162,0.15,5,4,78,0,8.11111111111111,0
163,0.15,5,4,78,1,21.7777777777778,0
164,0.15,5,5,79,0,3.55555555555556,0
165,0.15,5,5,79,1,3.22222222222222,0
166,0.16,5,1,80,0,2.22222222222222,0
167,0.16,5,1,80,1,2.11111111111111,0
168,0.16,5,2,81,0,4,0
169,0.16,5,2,81,1,3,0
170,0.16,5,3,82,0,9.33333333333333,1
171,0.16,5,3,82,1,5.55555555555556,0
172,0.16,5,4,83,0,11.2222222222222,0
173,0.16,5,4,83,1,26.4444444444444,2
174,0.16,5,5,84,0,6.66666666666667,0
175,0.16,5,5,84,1,12.3333333333333,1
176,0.17,5,1,85,0,2.11111111111111,0
177,0.17,5,1,85,1,2,0
178,0.17,5,2,86,0,4.33333333333333,0
179,0.17,5,2,86,1,2.88888888888889,0
180,0.17,5,3,87,0,8.33333333333333,0
181,0.17,5,3,87,1,27.6666666666667,1
182,0.17,5,4,88,0,9.88888888888889,0
183,0.17,5,4,88,1,10.6666666666667,1
184,0.17,5,5,89,0,3.44444444444444,0
185,0.17,5,5,89,1,9.55555555555556,0
186,0.18,5,1,90,0,1.77777777777778,0
187,0.18,5,1,90,1,2,0
188,0.18,5,2,91,0,8.11111111111111,1
189,0.18,5,2,91,1,4.55555555555556,0
190,0.18,5,3,92,0,5.88888888888889,0
191,0.18,5,3,92,1,11.4444444444444,1
192,0.18,5,4,93,0,17.7777777777778,0
193,0.18,5,4,93,1,5.55555555555556,0
194,0.18,5,5,94,0,4.11111111111111,0
195,0.18,5,5,94,1,46.3333333333333,5
196,0.19,5,1,95,0,2.55555555555556,0
197,0.19,5,1,95,1,1.88888888888889,0
198,0.19,5,2,96,0,3.11111111111111,0
199,0.19,5,2,96,1,4.66666666666667,0
200,0.19,5,3,97,0,5.22222222222222,0
201,0.19,5,3,97,1,6.77777777777778,0
202,0.19,5,4,98,0,17.8888888888889,0
203,0.19,5,4,98,1,7.77777777777778,0
204,0.19,5,5,99,0,8.55555555555556,0
205,0.19,5,5,99,1,9.22222222222222,0
206,0.2,5,1,100,0,2.77777777777778,0
207,0.2,5,1,100,1,2.11111111111111,0
208,0.2,5,2,101,0,3.55555555555556,0
209,0.2,5,2,101,1,4.77777777777778,0
210,0.2,5,3,102,0,3.33333333333333,0
211,0.2,5,3,102,1,4.55555555555556,0
212,0.2,5,4,103,0,11.4444444444444,0
213,0.2,5,4,103,1,12.1111111111111,1
214,0.2,5,5,104,0,7.66666666666667,0
215,0.2,5,5,104,1,3.77777777777778,0
216,0.21,5,1,105,0,1.66666666666667,0
217,0.21,5,1,105,1,3.11111111111111,0
218,0.21,5,2,106,0,4.55555555555556,0
219,0.21,5,2,106,1,3.44444444444444,0
220,0.21,5,3,107,0,3.44444444444444,0
221,0.21,5,3,107,1,2.88888888888889,0
222,0.21,5,4,108,0,4.22222222222222,0
223,0.21,5,4,108,1,5.33333333333333,0
224,0.21,5,5,109,0,5.22222222222222,0
225,0.21,5,5,109,1,4.66666666666667,0
226,0.22,5,1,110,0,1.55555555555556,0
227,0.22,5,1,110,1,2.22222222222222,0
228,0.22,5,2,111,0,3.22222222222222,0
229,0.22,5,2,111,1,7.77777777777778,0
230,0.22,5,3,112,0,10.8888888888889,0
231,0.22,5,3,112,1,9.22222222222222,0
232,0.22,5,4,113,0,4.22222222222222,0
233,0.22,5,4,113,1,8.22222222222222,0
234,0.22,5,5,114,0,10.2222222222222,0
235,0.22,5,5,114,1,5.66666666666667,0
