,x,y,time,bird,type
12,17.0,12.0,13,4,communicators
13,20.0,12.0,14,4,communicators
14,18.0,11.0,15,4,communicators
15,16.0,12.0,16,4,communicators
16,17.0,14.0,17,4,communicators
17,17.0,15.0,18,4,communicators
18,14.0,15.0,19,4,communicators
19,12.0,13.0,20,4,communicators
20,9.0,13.0,21,4,communicators
21,7.0,13.0,22,4,communicators
22,6.0,12.0,23,4,communicators
23,8.0,13.0,24,4,communicators
24,8.0,12.0,25,4,communicators
25,6.0,13.0,26,4,communicators
26,7.0,11.0,27,4,communicators
27,8.0,11.0,28,4,communicators
28,6.0,11.0,29,4,communicators
29,7.0,12.0,30,4,communicators
30,7.0,13.0,31,4,communicators
31,7.0,10.0,32,4,communicators
32,7.0,7.0,33,4,communicators
33,9.0,7.0,34,4,communicators
34,8.0,6.0,35,4,communicators
35,8.0,5.0,36,4,communicators
36,7.0,6.0,37,4,communicators
37,9.0,6.0,38,4,communicators
38,7.0,5.0,39,4,communicators
39,9.0,5.0,40,4,communicators
40,8.0,7.0,41,4,communicators
41,7.0,8.0,42,4,communicators
42,6.0,6.0,43,4,communicators
43,6.0,7.0,44,4,communicators
44,6.0,7.0,45,4,communicators
45,5.0,5.0,46,4,communicators
46,6.0,7.0,47,4,communicators
47,6.0,6.0,48,4,communicators
48,4.0,8.0,49,4,communicators
49,0.0,0.0,50,4,communicators
0,21.0,20.0,1,5,communicators
1,19.0,21.0,2,5,communicators
2,18.0,22.0,3,5,communicators
3,20.0,22.0,4,5,communicators
4,22.0,24.0,5,5,communicators
5,20.0,23.0,6,5,communicators
6,20.0,26.0,7,5,communicators
7,22.0,28.0,8,5,communicators
8,24.0,27.0,9,5,communicators
9,22.0,26.0,10,5,communicators
10,20.0,25.0,11,5,communicators
11,21.0,25.0,12,5,communicators
12,23.0,25.0,13,5,communicators
13,20.0,25.0,14,5,communicators
14,18.0,26.0,15,5,communicators
15,17.0,27.0,16,5,communicators
16,16.0,28.0,17,5,communicators
17,17.0,28.0,18,5,communicators
18,20.0,28.0,19,5,communicators
19,19.0,26.0,20,5,communicators
20,16.0,26.0,21,5,communicators
21,16.0,23.0,22,5,communicators
22,14.0,21.0,23,5,communicators
23,12.0,19.0,24,5,communicators
24,10.0,17.0,25,5,communicators
25,8.0,15.0,26,5,communicators
26,7.0,13.0,27,5,communicators
27,8.0,11.0,28,5,communicators
28,6.0,11.0,29,5,communicators
29,7.0,12.0,30,5,communicators
30,7.0,13.0,31,5,communicators
31,7.0,10.0,32,5,communicators
32,7.0,7.0,33,5,communicators
33,9.0,7.0,34,5,communicators
34,8.0,6.0,35,5,communicators
35,8.0,5.0,36,5,communicators
36,7.0,6.0,37,5,communicators
37,9.0,6.0,38,5,communicators
38,7.0,5.0,39,5,communicators
39,9.0,5.0,40,5,communicators
40,8.0,7.0,41,5,communicators
41,7.0,9.0,42,5,communicators
42,9.0,7.0,43,5,communicators
43,9.0,7.0,44,5,communicators
44,12.0,7.0,45,5,communicators
45,12.0,7.0,46,5,communicators
46,12.0,5.0,47,5,communicators
47,11.0,4.0,48,5,communicators
48,9.0,2.0,49,5,communicators
49,0.0,0.0,50,5,communicators
0,26.0,24.0,1,6,communicators
1,24.0,24.0,2,6,communicators
2,25.0,24.0,3,6,communicators
3,25.0,21.0,4,6,communicators
4,27.0,22.0,5,6,communicators
5,26.0,23.0,6,6,communicators
6,25.0,22.0,7,6,communicators
7,25.0,24.0,8,6,communicators
8,25.0,21.0,9,6,communicators
9,27.0,20.0,10,6,communicators
10,28.0,22.0,11,6,communicators
11,28.0,20.0,12,6,communicators
12,28.0,20.0,13,6,communicators
13,28.0,17.0,14,6,communicators
14,28.0,19.0,15,6,communicators
