,x,y,time
0,23,16,1
1,24,16,1
2,25,16,1
3,23,17,1
4,24,17,1
5,25,17,1
6,23,18,1
7,24,18,1
8,25,18,1
9,2,23,1
10,3,23,1
11,4,23,1
12,2,24,1
13,3,24,1
14,4,24,1
15,2,25,1
16,3,25,1
17,4,25,1
0,23,16,2
1,24,16,2
2,25,16,2
3,23,17,2
4,24,17,2
5,25,17,2
6,23,18,2
7,24,18,2
8,25,18,2
9,2,23,2
10,3,23,2
11,4,23,2
12,2,24,2
13,3,24,2
14,4,24,2
15,2,25,2
16,3,25,2
17,4,25,2
0,23,16,3
1,24,16,3
2,25,16,3
3,23,17,3
4,24,17,3
5,25,17,3
6,23,18,3
7,24,18,3
8,25,18,3
9,2,23,3
10,3,23,3
11,4,23,3
12,2,24,3
13,3,24,3
14,4,24,3
15,2,25,3
16,3,25,3
17,4,25,3
0,23,16,4
1,24,16,4
2,25,16,4
3,23,17,4
4,24,17,4
5,25,17,4
6,23,18,4
7,24,18,4
8,25,18,4
9,2,23,4
10,3,23,4
11,4,23,4
12,2,24,4
13,3,24,4
14,4,24,4
15,2,25,4
16,3,25,4
17,4,25,4
0,23,16,5
1,24,16,5
2,25,16,5
3,23,17,5
4,24,17,5
5,25,17,5
6,23,18,5
7,24,18,5
8,25,18,5
9,2,23,5
10,3,23,5
11,2,24,5
12,3,24,5
13,4,24,5
14,2,25,5
15,3,25,5
16,4,25,5
0,23,16,6
1,24,16,6
2,25,16,6
3,23,17,6
4,24,17,6
5,25,17,6
6,23,18,6
7,24,18,6
8,25,18,6
9,2,23,6
10,3,23,6
11,2,24,6
12,3,24,6
13,4,24,6
14,2,25,6
15,3,25,6
16,4,25,6
0,23,16,7
1,24,16,7
2,25,16,7
3,23,17,7
4,24,17,7
5,25,17,7
6,23,18,7
7,24,18,7
8,25,18,7
9,2,23,7
10,3,23,7
11,2,24,7
12,3,24,7
13,4,24,7
14,2,25,7
15,4,25,7
0,23,16,8
1,24,16,8
2,25,16,8
3,23,17,8
4,24,17,8
