,x,y,time
0,20,10,1
1,21,10,1
2,22,10,1
3,20,11,1
4,21,11,1
5,22,11,1
6,13,12,1
7,14,12,1
8,15,12,1
9,20,12,1
10,21,12,1
11,22,12,1
12,13,13,1
13,14,13,1
14,15,13,1
15,13,14,1
16,14,14,1
17,15,14,1
0,20,10,2
1,21,10,2
2,22,10,2
3,20,11,2
4,21,11,2
5,22,11,2
6,13,12,2
7,14,12,2
8,15,12,2
9,20,12,2
10,21,12,2
11,22,12,2
12,13,13,2
13,14,13,2
14,15,13,2
15,13,14,2
16,14,14,2
17,15,14,2
0,20,10,3
1,21,10,3
2,22,10,3
3,20,11,3
4,21,11,3
5,22,11,3
6,13,12,3
7,14,12,3
8,15,12,3
9,20,12,3
10,21,12,3
11,22,12,3
12,13,13,3
13,14,13,3
14,15,13,3
15,13,14,3
16,14,14,3
17,15,14,3
0,20,10,4
1,21,10,4
2,22,10,4
3,20,11,4
4,21,11,4
5,22,11,4
6,13,12,4
7,14,12,4
8,15,12,4
9,20,12,4
10,21,12,4
11,22,12,4
12,13,13,4
13,14,13,4
14,15,13,4
15,13,14,4
16,14,14,4
17,15,14,4
0,20,10,5
1,21,10,5
2,22,10,5
3,20,11,5
4,21,11,5
5,22,11,5
6,13,12,5
7,14,12,5
8,15,12,5
9,20,12,5
10,21,12,5
11,22,12,5
12,13,13,5
13,14,13,5
14,15,13,5
15,13,14,5
16,14,14,5
17,15,14,5
0,20,10,6
1,21,10,6
2,22,10,6
3,20,11,6
4,21,11,6
5,22,11,6
6,13,12,6
7,14,12,6
8,15,12,6
9,20,12,6
10,21,12,6
11,22,12,6
12,13,13,6
13,14,13,6
14,15,13,6
15,13,14,6
16,14,14,6
17,15,14,6
0,20,10,7
1,21,10,7
2,22,10,7
3,20,11,7
4,21,11,7
5,22,11,7
6,13,12,7
7,14,12,7
8,15,12,7
9,20,12,7
10,21,12,7
11,22,12,7
12,13,13,7
13,14,13,7
14,15,13,7
15,13,14,7
16,14,14,7
17,15,14,7
0,20,10,8
1,21,10,8
2,22,10,8
3,20,11,8
4,21,11,8
5,22,11,8
6,13,12,8
7,14,12,8
8,15,12,8
9,21,12,8
10,22,12,8
11,14,13,8
12,15,13,8
13,13,14,8
14,14,14,8
15,15,14,8
0,21,10,9
1,22,10,9
2,20,11,9
3,21,11,9
4,22,11,9
5,13,12,9
6,14,12,9
7,21,12,9
8,22,12,9
9,14,13,9
10,15,13,9
11,13,14,9
12,14,14,9
13,15,14,9
0,21,10,10
1,22,10,10
2,20,11,10
3,22,11,10
4,13,12,10
5,14,12,10
6,21,12,10
7,22,12,10
8,14,13,10
9,15,13,10
10,13,14,10
11,14,14,10
0,21,10,11
1,22,10,11
2,20,11,11
3,14,12,11
4,21,12,11
5,22,12,11
6,14,13,11
7,15,13,11
8,13,14,11
9,14,14,11
0,21,10,12
1,22,10,12
2,14,12,12
3,21,12,12
4,22,12,12
5,14,13,12
6,15,13,12
7,14,14,12
0,22,10,13
1,14,12,13
2,21,12,13
3,22,12,13
4,15,13,13
5,14,14,13
0,22,10,14
1,14,12,14
2,21,12,14
3,14,14,14
0,22,10,15
1,14,14,15
0,14,1,16
1,15,1,16
2,16,1,16
3,14,2,16
4,15,2,16
5,16,2,16
6,14,3,16
7,15,3,16
8,16,3,16
9,16,11,16
10,17,11,16
11,18,11,16
12,16,12,16
13,17,12,16
14,18,12,16
15,16,13,16
16,17,13,16
17,18,13,16
0,14,1,17
1,15,1,17
2,16,1,17
3,14,2,17
4,15,2,17
5,16,2,17
6,14,3,17
7,15,3,17
8,16,3,17
9,16,11,17
10,17,11,17
11,18,11,17
12,17,12,17
13,18,12,17
14,16,13,17
15,17,13,17
16,18,13,17
0,14,1,18
1,15,1,18
2,16,1,18
3,14,2,18
4,15,2,18
5,16,2,18
6,14,3,18
7,15,3,18
8,16,3,18
9,16,11,18
10,17,11,18
11,18,11,18
12,18,12,18
13,16,13,18
14,17,13,18
15,18,13,18
0,14,1,19
1,15,1,19
2,16,1,19
3,14,2,19
4,15,2,19
5,16,2,19
6,14,3,19
7,15,3,19
8,16,3,19
9,16,11,19
10,17,11,19
11,18,11,19
12,16,13,19
13,17,13,19
14,18,13,19
0,14,1,20
1,15,1,20
2,16,1,20
3,14,2,20
4,15,2,20
5,16,2,20
6,14,3,20
7,15,3,20
8,16,3,20
9,16,11,20
10,18,11,20
11,16,13,20
12,17,13,20
13,18,13,20
0,14,1,21
1,15,1,21
2,16,1,21
3,14,2,21
4,15,2,21
5,16,2,21
6,14,3,21
7,15,3,21
8,16,3,21
9,16,11,21
10,18,11,21
11,16,13,21
12,18,13,21
0,14,1,22
1,15,1,22
2,16,1,22
3,14,2,22
4,15,2,22
5,16,2,22
6,14,3,22
7,15,3,22
8,16,3,22
9,16,11,22
10,16,13,22
11,18,13,22
0,14,1,23
1,15,1,23
2,16,1,23
3,14,2,23
4,15,2,23
5,16,2,23
6,14,3,23
7,15,3,23
8,16,3,23
9,16,11,23
10,18,13,23
0,14,1,24
1,15,1,24
2,16,1,24
3,14,2,24
4,15,2,24
5,16,2,24
6,14,3,24
7,15,3,24
8,16,3,24
9,16,11,24
0,14,1,25
1,15,1,25
2,16,1,25
3,14,2,25
4,15,2,25
5,16,2,25
6,14,3,25
7,15,3,25
8,16,3,25
0,14,1,26
1,15,1,26
2,16,1,26
3,14,2,26
4,15,2,26
5,16,2,26
6,14,3,26
7,15,3,26
8,16,3,26
0,14,1,27
1,15,1,27
2,16,1,27
3,14,2,27
4,15,2,27
5,16,2,27
6,14,3,27
7,15,3,27
8,16,3,27
0,14,1,28
1,15,1,28
2,16,1,28
3,14,2,28
4,15,2,28
5,16,2,28
6,14,3,28
7,15,3,28
8,16,3,28
0,14,1,29
1,15,1,29
2,16,1,29
3,14,2,29
4,15,2,29
5,16,2,29
6,14,3,29
7,15,3,29
8,16,3,29
0,14,1,30
1,15,1,30
2,16,1,30
3,14,2,30
4,15,2,30
5,16,2,30
6,14,3,30
7,16,3,30
0,14,1,31
1,15,1,31
2,16,1,31
3,14,2,31
4,15,2,31
5,16,2,31
6,16,3,31
0,14,1,32
1,16,1,32
2,14,2,32
3,15,2,32
4,16,2,32
5,16,3,32
0,14,1,33
1,14,2,33
2,15,2,33
3,16,2,33
4,16,3,33
0,14,2,34
1,15,2,34
2,16,2,34
3,16,3,34
0,14,2,35
1,15,2,35
2,16,3,35
0,15,2,36
1,16,3,36
0,15,2,37
0,3,0,38
1,4,0,38
2,5,0,38
3,3,1,38
4,4,1,38
5,5,1,38
6,3,2,38
7,4,2,38
8,5,2,38
9,19,25,38
10,20,25,38
11,21,25,38
12,19,26,38
13,20,26,38
14,21,26,38
15,19,27,38
16,20,27,38
17,21,27,38
0,3,0,39
1,4,0,39
2,5,0,39
3,3,1,39
4,4,1,39
5,5,1,39
6,3,2,39
7,4,2,39
8,5,2,39
9,19,25,39
10,20,25,39
11,21,25,39
12,19,26,39
13,20,26,39
14,21,26,39
15,19,27,39
16,20,27,39
17,21,27,39
0,3,0,40
1,4,0,40
2,5,0,40
3,3,1,40
4,4,1,40
5,5,1,40
6,3,2,40
7,4,2,40
8,5,2,40
9,19,25,40
10,20,25,40
11,21,25,40
12,19,26,40
13,20,26,40
14,21,26,40
15,19,27,40
16,20,27,40
17,21,27,40
0,3,0,41
1,4,0,41
2,5,0,41
3,3,1,41
4,4,1,41
5,5,1,41
6,3,2,41
7,4,2,41
8,5,2,41
9,19,25,41
10,20,25,41
11,21,25,41
12,19,26,41
13,20,26,41
14,21,26,41
15,19,27,41
16,20,27,41
17,21,27,41
0,3,0,42
1,4,0,42
2,5,0,42
3,3,1,42
4,4,1,42
5,5,1,42
6,3,2,42
7,4,2,42
8,5,2,42
9,19,25,42
10,20,25,42
11,21,25,42
12,19,26,42
13,20,26,42
14,21,26,42
15,19,27,42
16,20,27,42
17,21,27,42
0,3,0,43
1,4,0,43
2,5,0,43
3,3,1,43
4,4,1,43
5,5,1,43
6,3,2,43
7,4,2,43
8,5,2,43
9,19,25,43
10,20,25,43
11,21,25,43
12,19,26,43
13,20,26,43
14,21,26,43
15,19,27,43
16,20,27,43
17,21,27,43
0,3,0,44
1,4,0,44
2,5,0,44
3,3,1,44
4,4,1,44
5,5,1,44
6,3,2,44
7,4,2,44
8,5,2,44
9,19,25,44
10,20,25,44
11,21,25,44
12,19,26,44
13,20,26,44
14,21,26,44
15,19,27,44
16,20,27,44
17,21,27,44
0,3,0,45
1,4,0,45
2,5,0,45
3,3,1,45
4,4,1,45
5,5,1,45
6,3,2,45
7,4,2,45
8,5,2,45
9,19,25,45
10,20,25,45
11,21,25,45
12,19,26,45
13,20,26,45
14,21,26,45
15,19,27,45
16,20,27,45
17,21,27,45
0,3,0,46
1,4,0,46
2,5,0,46
3,3,1,46
4,4,1,46
5,5,1,46
6,3,2,46
7,4,2,46
8,5,2,46
9,19,25,46
10,20,25,46
11,21,25,46
12,19,26,46
13,20,26,46
14,21,26,46
15,19,27,46
16,20,27,46
17,21,27,46
0,3,0,47
1,4,0,47
2,5,0,47
3,3,1,47
4,4,1,47
5,5,1,47
6,3,2,47
7,4,2,47
8,5,2,47
9,19,25,47
10,20,25,47
11,21,25,47
12,19,26,47
13,20,26,47
14,21,26,47
15,19,27,47
16,20,27,47
17,21,27,47
0,3,0,48
1,4,0,48
2,5,0,48
3,3,1,48
4,4,1,48
5,5,1,48
6,3,2,48
7,4,2,48
8,5,2,48
9,19,25,48
10,20,25,48
11,21,25,48
12,19,26,48
13,20,26,48
14,21,26,48
15,19,27,48
16,20,27,48
17,21,27,48
0,3,0,49
1,4,0,49
2,5,0,49
3,3,1,49
4,4,1,49
5,5,1,49
6,3,2,49
7,4,2,49
8,5,2,49
9,19,25,49
10,20,25,49
11,21,25,49
12,19,26,49
13,20,26,49
14,21,26,49
15,19,27,49
16,20,27,49
17,21,27,49
