,x,y,time,forager,type
0,17.0,12.0,1,1,communicators
1,18.0,14.0,2,1,communicators
2,18.0,17.0,3,1,communicators
3,16.0,19.0,4,1,communicators
4,14.0,21.0,5,1,communicators
5,13.0,22.0,6,1,communicators
6,12.0,24.0,7,1,communicators
7,13.0,24.0,8,1,communicators
8,11.0,23.0,9,1,communicators
9,13.0,21.0,10,1,communicators
10,14.0,22.0,11,1,communicators
11,11.0,22.0,12,1,communicators
12,12.0,21.0,13,1,communicators
13,14.0,23.0,14,1,communicators
14,14.0,24.0,15,1,communicators
15,11.0,24.0,16,1,communicators
16,11.0,21.0,17,1,communicators
17,13.0,23.0,18,1,communicators
18,12.0,23.0,19,1,communicators
19,12.0,22.0,20,1,communicators
20,13.0,22.0,21,1,communicators
21,12.0,24.0,22,1,communicators
22,12.0,21.0,23,1,communicators
23,14.0,23.0,24,1,communicators
24,11.0,23.0,25,1,communicators
25,11.0,22.0,26,1,communicators
26,14.0,22.0,27,1,communicators
27,14.0,24.0,28,1,communicators
28,14.0,21.0,29,1,communicators
29,11.0,21.0,30,1,communicators
30,11.0,24.0,31,1,communicators
31,13.0,24.0,32,1,communicators
32,13.0,21.0,33,1,communicators
33,15.0,21.0,34,1,communicators
34,14.0,22.0,35,1,communicators
35,14.0,19.0,36,1,communicators
36,15.0,17.0,37,1,communicators
37,16.0,19.0,38,1,communicators
38,14.0,17.0,39,1,communicators
39,13.0,17.0,40,1,communicators
40,14.0,17.0,41,1,communicators
41,14.0,17.0,42,1,communicators
42,15.0,17.0,43,1,communicators
43,16.0,17.0,44,1,communicators
44,14.0,18.0,45,1,communicators
45,17.0,18.0,46,1,communicators
46,17.0,19.0,47,1,communicators
47,17.0,16.0,48,1,communicators
48,17.0,15.0,49,1,communicators
49,17.0,17.0,50,1,communicators
50,16.0,16.0,51,1,communicators
51,16.0,18.0,52,1,communicators
52,15.0,19.0,53,1,communicators
53,13.0,17.0,54,1,communicators
54,13.0,19.0,55,1,communicators
55,15.0,18.0,56,1,communicators
56,16.0,17.0,57,1,communicators
57,17.0,16.0,58,1,communicators
58,19.0,17.0,59,1,communicators
59,19.0,15.0,60,1,communicators
60,19.0,14.0,61,1,communicators
61,20.0,16.0,62,1,communicators
62,18.0,14.0,63,1,communicators
63,19.0,16.0,64,1,communicators
64,17.0,15.0,65,1,communicators
65,17.0,14.0,66,1,communicators
66,16.0,14.0,67,1,communicators
67,15.0,13.0,68,1,communicators
68,15.0,10.0,69,1,communicators
69,13.0,9.0,70,1,communicators
70,13.0,7.0,71,1,communicators
71,11.0,5.0,72,1,communicators
72,14.0,5.0,73,1,communicators
73,12.0,6.0,74,1,communicators
74,10.0,8.0,75,1,communicators
75,10.0,5.0,76,1,communicators
76,12.0,4.0,77,1,communicators
77,10.0,5.0,78,1,communicators
78,12.0,7.0,79,1,communicators
79,14.0,9.0,80,1,communicators
80,14.0,9.0,81,1,communicators
81,13.0,10.0,82,1,communicators
82,12.0,11.0,83,1,communicators
83,10.0,12.0,84,1,communicators
84,8.0,14.0,85,1,communicators
85,5.0,14.0,86,1,communicators
86,4.0,15.0,87,1,communicators
87,2.0,15.0,88,1,communicators
88,3.0,14.0,89,1,communicators
89,4.0,14.0,90,1,communicators
90,4.0,17.0,91,1,communicators
91,3.0,16.0,92,1,communicators
92,5.0,16.0,93,1,communicators
93,5.0,15.0,94,1,communicators
94,3.0,15.0,95,1,communicators
95,2.0,14.0,96,1,communicators
96,4.0,16.0,97,1,communicators
97,5.0,17.0,98,1,communicators
98,3.0,17.0,99,1,communicators
99,2.0,16.0,100,1,communicators
100,4.0,15.0,101,1,communicators
101,2.0,17.0,102,1,communicators
102,2.0,15.0,103,1,communicators
103,3.0,14.0,104,1,communicators
104,5.0,16.0,105,1,communicators
105,4.0,17.0,106,1,communicators
106,4.0,14.0,107,1,communicators
107,2.0,14.0,108,1,communicators
108,5.0,14.0,109,1,communicators
109,5.0,17.0,110,1,communicators
110,5.0,15.0,111,1,communicators
111,3.0,16.0,112,1,communicators
112,2.0,16.0,113,1,communicators
113,3.0,17.0,114,1,communicators
114,3.0,15.0,115,1,communicators
115,2.0,17.0,116,1,communicators
116,4.0,16.0,117,1,communicators
117,4.0,19.0,118,1,communicators
118,4.0,20.0,119,1,communicators
119,0.0,0.0,120,1,communicators
0,16.0,8.0,1,2,communicators
1,18.0,6.0,2,2,communicators
2,20.0,6.0,3,2,communicators
3,20.0,4.0,4,2,communicators
4,19.0,2.0,5,2,communicators
5,19.0,3.0,6,2,communicators
6,19.0,4.0,7,2,communicators
7,16.0,4.0,8,2,communicators
8,18.0,3.0,9,2,communicators
9,18.0,6.0,10,2,communicators
10,16.0,5.0,11,2,communicators
11,16.0,7.0,12,2,communicators
12,18.0,9.0,13,2,communicators
13,16.0,9.0,14,2,communicators
14,17.0,9.0,15,2,communicators
15,15.0,7.0,16,2,communicators
16,15.0,10.0,17,2,communicators
17,14.0,10.0,18,2,communicators
18,13.0,12.0,19,2,communicators
19,10.0,12.0,20,2,communicators
20,10.0,12.0,21,2,communicators
21,9.0,13.0,22,2,communicators
22,11.0,15.0,23,2,communicators
23,11.0,18.0,24,2,communicators
24,11.0,21.0,25,2,communicators
25,11.0,22.0,26,2,communicators
26,14.0,22.0,27,2,communicators
27,14.0,24.0,28,2,communicators
28,14.0,21.0,29,2,communicators
29,11.0,21.0,30,2,communicators
30,11.0,24.0,31,2,communicators
31,13.0,24.0,32,2,communicators
32,13.0,21.0,33,2,communicators
33,13.0,24.0,34,2,communicators
34,14.0,25.0,35,2,communicators
35,14.0,24.0,36,2,communicators
36,14.0,22.0,37,2,communicators
37,16.0,23.0,38,2,communicators
38,15.0,22.0,39,2,communicators
39,17.0,23.0,40,2,communicators
40,17.0,22.0,41,2,communicators
41,20.0,22.0,42,2,communicators
42,20.0,20.0,43,2,communicators
43,21.0,21.0,44,2,communicators
44,23.0,22.0,45,2,communicators
45,22.0,23.0,46,2,communicators
46,23.0,21.0,47,2,communicators
47,25.0,23.0,48,2,communicators
48,25.0,20.0,49,2,communicators
49,22.0,20.0,50,2,communicators
50,20.0,22.0,51,2,communicators
51,19.0,24.0,52,2,communicators
52,19.0,24.0,53,2,communicators
53,19.0,23.0,54,2,communicators
54,19.0,23.0,55,2,communicators
55,21.0,23.0,56,2,communicators
56,21.0,21.0,57,2,communicators
57,23.0,19.0,58,2,communicators
58,26.0,19.0,59,2,communicators
59,27.0,21.0,60,2,communicators
60,27.0,23.0,61,2,communicators
61,27.0,22.0,62,2,communicators
62,26.0,24.0,63,2,communicators
63,27.0,25.0,64,2,communicators
64,27.0,24.0,65,2,communicators
65,26.0,25.0,66,2,communicators
66,29.0,25.0,67,2,communicators
67,28.0,26.0,68,2,communicators
68,28.0,27.0,69,2,communicators
69,28.0,28.0,70,2,communicators
70,27.0,28.0,71,2,communicators
