,x,y,time
0,19,0,1
1,0,1,1
2,18,1,1
3,28,3,1
4,16,10,1
5,6,11,1
6,17,14,1
7,10,16,1
8,16,19,1
9,1,20,1
10,5,22,1
11,27,22,1
12,6,24,1
13,6,25,1
14,14,27,1
15,1,28,1
0,19,0,2
1,0,1,2
2,18,1,2
3,28,3,2
4,16,10,2
5,6,11,2
6,17,14,2
7,10,16,2
8,16,19,2
9,1,20,2
10,5,22,2
11,27,22,2
12,6,24,2
13,6,25,2
14,14,27,2
15,1,28,2
0,19,0,3
1,0,1,3
2,18,1,3
3,28,3,3
4,16,10,3
5,6,11,3
6,17,14,3
7,10,16,3
8,16,19,3
9,1,20,3
10,5,22,3
11,27,22,3
12,6,24,3
13,6,25,3
14,14,27,3
15,1,28,3
0,19,0,4
1,0,1,4
2,18,1,4
3,28,3,4
4,16,10,4
5,17,14,4
6,10,16,4
7,16,19,4
8,1,20,4
9,5,22,4
10,27,22,4
11,6,24,4
12,6,25,4
13,14,27,4
14,1,28,4
0,19,0,5
1,0,1,5
2,18,1,5
3,28,3,5
4,17,14,5
5,10,16,5
6,16,19,5
7,1,20,5
8,5,22,5
9,27,22,5
10,6,24,5
11,14,27,5
12,1,28,5
0,19,0,6
1,0,1,6
2,18,1,6
3,28,3,6
4,17,14,6
5,16,19,6
6,1,20,6
7,5,22,6
8,27,22,6
9,14,27,6
10,1,28,6
0,19,0,7
1,0,1,7
2,18,1,7
3,28,3,7
4,17,14,7
5,1,20,7
6,5,22,7
7,27,22,7
8,14,27,7
9,1,28,7
0,19,0,8
1,0,1,8
2,18,1,8
3,28,3,8
4,17,14,8
5,1,20,8
6,27,22,8
7,14,27,8
8,1,28,8
0,19,0,9
1,0,1,9
2,28,3,9
3,1,20,9
4,27,22,9
5,14,27,9
6,1,28,9
0,0,1,10
1,28,3,10
2,1,20,10
3,27,22,10
4,14,27,10
5,1,28,10
0,0,1,11
1,28,3,11
2,27,22,11
3,14,27,11
4,1,28,11
0,0,1,12
1,28,3,12
2,27,22,12
3,14,27,12
4,1,28,12
0,0,1,13
1,28,3,13
2,27,22,13
3,14,27,13
4,1,28,13
0,0,1,14
1,28,3,14
2,27,22,14
3,14,27,14
4,1,28,14
0,0,1,15
1,28,3,15
2,27,22,15
3,14,27,15
4,1,28,15
0,0,1,16
1,28,3,16
2,27,22,16
3,14,27,16
4,1,28,16
0,0,1,17
1,28,3,17
2,27,22,17
3,14,27,17
4,1,28,17
0,0,1,18
1,28,3,18
2,27,22,18
3,14,27,18
4,1,28,18
0,0,1,19
1,28,3,19
2,27,22,19
3,14,27,19
4,1,28,19
0,0,1,20
1,28,3,20
2,27,22,20
3,14,27,20
4,1,28,20
0,0,1,21
1,28,3,21
2,27,22,21
3,14,27,21
4,1,28,21
0,0,1,22
1,28,3,22
2,27,22,22
3,14,27,22
4,1,28,22
0,0,1,23
1,28,3,23
2,27,22,23
3,14,27,23
0,0,1,24
1,28,3,24
2,27,22,24
3,14,27,24
0,0,1,25
1,28,3,25
2,27,22,25
3,14,27,25
0,0,1,26
1,28,3,26
2,27,22,26
3,14,27,26
0,0,1,27
1,28,3,27
2,27,22,27
3,14,27,27
0,0,1,28
1,28,3,28
2,27,22,28
3,14,27,28
0,0,1,29
1,28,3,29
2,27,22,29
3,14,27,29
0,0,1,30
1,28,3,30
2,27,22,30
3,14,27,30
0,0,1,31
1,28,3,31
2,27,22,31
3,14,27,31
0,0,1,32
1,28,3,32
2,27,22,32
3,14,27,32
0,0,1,33
1,28,3,33
2,27,22,33
3,14,27,33
0,0,1,34
1,28,3,34
2,27,22,34
3,14,27,34
0,0,1,35
1,28,3,35
2,27,22,35
3,14,27,35
0,0,1,36
1,28,3,36
2,27,22,36
3,14,27,36
0,0,1,37
1,28,3,37
2,27,22,37
3,14,27,37
0,0,1,38
1,28,3,38
2,27,22,38
3,14,27,38
0,0,1,39
1,28,3,39
2,27,22,39
3,14,27,39
0,0,1,40
1,28,3,40
2,27,22,40
3,14,27,40
0,0,1,41
1,28,3,41
2,27,22,41
3,14,27,41
0,0,1,42
1,28,3,42
2,27,22,42
3,14,27,42
0,0,1,43
1,28,3,43
2,27,22,43
3,14,27,43
0,0,1,44
1,28,3,44
2,27,22,44
3,14,27,44
0,0,1,45
1,28,3,45
2,27,22,45
3,14,27,45
0,0,1,46
1,28,3,46
2,27,22,46
3,14,27,46
0,0,1,47
1,28,3,47
2,27,22,47
3,14,27,47
0,0,1,48
1,28,3,48
2,27,22,48
3,14,27,48
0,0,1,49
1,28,3,49
2,27,22,49
3,14,27,49
