,x,y,time
0,13,0,1
1,14,0,1
2,13,1,1
3,14,1,1
4,14,6,1
5,15,6,1
6,14,7,1
7,15,7,1
8,27,7,1
9,28,7,1
10,27,8,1
11,28,8,1
12,0,25,1
13,1,25,1
14,0,26,1
15,1,26,1
0,13,0,2
1,14,0,2
2,13,1,2
3,14,1,2
4,14,6,2
5,15,6,2
6,14,7,2
7,15,7,2
8,27,7,2
9,28,7,2
10,27,8,2
11,28,8,2
12,0,25,2
13,1,25,2
14,0,26,2
15,1,26,2
0,13,0,3
1,14,0,3
2,13,1,3
3,14,1,3
4,14,6,3
5,15,6,3
6,14,7,3
7,15,7,3
8,27,7,3
9,28,7,3
10,27,8,3
11,28,8,3
12,0,25,3
13,1,25,3
14,0,26,3
15,1,26,3
0,13,0,4
1,14,0,4
2,13,1,4
3,14,1,4
4,14,6,4
5,15,6,4
6,14,7,4
7,15,7,4
8,27,7,4
9,28,7,4
10,27,8,4
11,28,8,4
12,0,25,4
13,1,25,4
14,0,26,4
15,1,26,4
0,13,0,5
1,14,0,5
2,13,1,5
3,14,1,5
4,14,6,5
5,15,6,5
6,14,7,5
7,15,7,5
8,27,7,5
9,28,7,5
10,27,8,5
11,28,8,5
12,0,25,5
13,1,25,5
14,0,26,5
15,1,26,5
0,13,0,6
1,14,0,6
2,13,1,6
3,14,1,6
4,14,6,6
5,15,6,6
6,15,7,6
7,27,7,6
8,28,7,6
9,27,8,6
10,28,8,6
11,0,25,6
12,1,25,6
13,0,26,6
14,1,26,6
0,13,0,7
1,14,0,7
2,13,1,7
3,14,1,7
4,14,6,7
5,15,7,7
6,27,7,7
7,28,7,7
8,27,8,7
9,28,8,7
10,0,25,7
11,1,25,7
12,0,26,7
13,1,26,7
0,13,0,8
1,14,0,8
2,13,1,8
3,14,1,8
4,15,7,8
5,27,7,8
6,28,7,8
7,27,8,8
8,28,8,8
9,0,25,8
10,1,25,8
11,0,26,8
12,1,26,8
0,13,0,9
1,14,0,9
2,13,1,9
3,14,1,9
4,27,7,9
5,28,7,9
6,27,8,9
7,28,8,9
8,0,25,9
9,1,25,9
10,0,26,9
11,1,26,9
0,13,0,10
1,14,0,10
2,13,1,10
3,14,1,10
4,27,7,10
5,28,7,10
6,27,8,10
7,28,8,10
8,0,25,10
9,1,25,10
10,0,26,10
11,1,26,10
0,13,0,11
1,14,0,11
2,13,1,11
3,14,1,11
4,27,7,11
5,28,7,11
6,27,8,11
7,28,8,11
8,0,25,11
9,1,25,11
10,0,26,11
11,1,26,11
0,13,0,12
1,13,1,12
2,14,1,12
3,27,7,12
4,28,7,12
5,27,8,12
6,28,8,12
7,0,25,12
8,1,25,12
9,0,26,12
10,1,26,12
0,13,0,13
1,14,1,13
2,27,7,13
3,28,7,13
4,27,8,13
5,28,8,13
6,0,25,13
7,1,25,13
8,0,26,13
9,1,26,13
0,13,0,14
1,27,7,14
2,28,7,14
3,27,8,14
4,28,8,14
5,0,25,14
6,1,25,14
7,0,26,14
8,1,26,14
0,27,7,15
1,28,7,15
2,27,8,15
3,28,8,15
4,0,25,15
5,1,25,15
6,0,26,15
7,1,26,15
0,27,7,16
1,28,7,16
2,27,8,16
3,28,8,16
4,0,25,16
5,1,25,16
6,0,26,16
7,1,26,16
0,27,7,17
1,28,7,17
2,27,8,17
3,28,8,17
4,0,25,17
5,1,25,17
6,0,26,17
7,1,26,17
0,27,7,18
1,28,7,18
2,27,8,18
3,28,8,18
4,0,25,18
5,1,25,18
6,0,26,18
7,1,26,18
0,27,7,19
1,28,7,19
2,27,8,19
3,28,8,19
4,0,25,19
5,1,25,19
6,0,26,19
7,1,26,19
0,27,7,20
1,28,7,20
2,27,8,20
3,28,8,20
4,0,25,20
5,1,25,20
6,0,26,20
7,1,26,20
0,27,7,21
1,28,7,21
2,27,8,21
3,28,8,21
4,0,25,21
5,1,25,21
6,0,26,21
7,1,26,21
0,27,7,22
1,28,7,22
2,27,8,22
3,28,8,22
4,0,25,22
5,1,25,22
6,0,26,22
7,1,26,22
0,27,7,23
1,28,7,23
2,27,8,23
3,28,8,23
4,0,25,23
5,1,25,23
6,0,26,23
7,1,26,23
0,27,7,24
1,28,7,24
2,27,8,24
3,28,8,24
4,0,25,24
5,1,25,24
6,0,26,24
7,1,26,24
0,27,7,25
1,28,7,25
2,27,8,25
3,28,8,25
4,0,25,25
5,1,25,25
6,0,26,25
7,1,26,25
0,27,7,26
1,28,7,26
2,27,8,26
3,28,8,26
4,0,25,26
5,1,25,26
6,0,26,26
7,1,26,26
0,27,7,27
1,28,7,27
2,27,8,27
3,28,8,27
4,0,25,27
5,1,25,27
6,0,26,27
7,1,26,27
0,27,7,28
1,28,7,28
2,27,8,28
3,28,8,28
4,0,25,28
5,1,25,28
6,0,26,28
7,1,26,28
0,27,7,29
1,28,7,29
2,27,8,29
3,28,8,29
4,0,25,29
5,1,25,29
6,0,26,29
7,1,26,29
0,27,7,30
1,28,7,30
2,27,8,30
3,28,8,30
4,0,25,30
5,1,25,30
6,0,26,30
7,1,26,30
0,27,7,31
1,28,7,31
2,27,8,31
3,28,8,31
4,0,25,31
5,1,25,31
6,0,26,31
7,1,26,31
0,27,7,32
1,28,7,32
2,27,8,32
3,28,8,32
4,0,25,32
5,1,25,32
6,0,26,32
7,1,26,32
0,27,7,33
1,28,7,33
2,27,8,33
3,28,8,33
4,0,25,33
5,1,25,33
6,0,26,33
7,1,26,33
0,27,7,34
1,28,7,34
2,27,8,34
3,28,8,34
4,0,25,34
5,1,25,34
6,0,26,34
7,1,26,34
0,27,7,35
1,28,7,35
2,27,8,35
3,28,8,35
4,0,25,35
5,1,25,35
6,0,26,35
7,1,26,35
0,27,7,36
1,28,7,36
2,27,8,36
3,28,8,36
4,0,25,36
5,1,25,36
6,0,26,36
7,1,26,36
0,27,7,37
1,28,7,37
2,27,8,37
3,28,8,37
4,0,25,37
5,1,25,37
6,0,26,37
7,1,26,37
0,28,7,38
1,27,8,38
2,28,8,38
3,0,25,38
4,1,25,38
5,0,26,38
6,1,26,38
0,28,7,39
1,27,8,39
2,0,25,39
3,1,25,39
4,0,26,39
5,1,26,39
0,28,7,40
1,0,25,40
2,1,25,40
3,0,26,40
4,1,26,40
0,0,25,41
1,1,25,41
2,0,26,41
3,1,26,41
0,0,25,42
1,1,25,42
2,0,26,42
3,1,26,42
0,0,25,43
1,1,25,43
2,0,26,43
3,1,26,43
0,0,25,44
1,1,25,44
2,0,26,44
3,1,26,44
0,0,25,45
1,1,25,45
2,0,26,45
3,1,26,45
0,0,25,46
1,1,25,46
2,0,26,46
3,1,26,46
0,0,25,47
1,1,25,47
2,0,26,47
3,1,26,47
0,0,25,48
1,1,25,48
2,0,26,48
3,1,26,48
0,0,25,49
1,1,25,49
2,0,26,49
3,1,26,49
