,x,y,time
0,3,17,1
1,4,17,1
2,5,17,1
3,6,17,1
4,7,17,1
5,3,18,1
6,4,18,1
7,5,18,1
8,6,18,1
9,7,18,1
10,3,19,1
11,4,19,1
12,5,19,1
13,6,19,1
14,7,19,1
15,3,20,1
16,4,20,1
17,5,20,1
18,6,20,1
19,7,20,1
20,3,21,1
21,4,21,1
22,5,21,1
23,6,21,1
24,7,21,1
0,3,17,2
1,4,17,2
2,5,17,2
3,6,17,2
4,7,17,2
5,3,18,2
6,4,18,2
7,5,18,2
8,6,18,2
9,7,18,2
10,3,19,2
11,4,19,2
12,5,19,2
13,6,19,2
14,7,19,2
15,3,20,2
16,4,20,2
17,5,20,2
18,6,20,2
19,7,20,2
20,3,21,2
21,4,21,2
22,5,21,2
23,6,21,2
24,7,21,2
0,3,17,3
1,4,17,3
2,5,17,3
3,6,17,3
4,7,17,3
5,3,18,3
6,4,18,3
7,5,18,3
8,6,18,3
9,7,18,3
10,3,19,3
11,4,19,3
12,5,19,3
13,6,19,3
14,7,19,3
15,3,20,3
16,4,20,3
17,5,20,3
18,6,20,3
19,7,20,3
20,3,21,3
21,4,21,3
22,5,21,3
23,6,21,3
24,7,21,3
0,3,17,4
1,4,17,4
2,5,17,4
3,6,17,4
4,7,17,4
5,3,18,4
6,4,18,4
7,5,18,4
8,6,18,4
9,7,18,4
10,3,19,4
11,4,19,4
12,5,19,4
13,6,19,4
14,7,19,4
15,3,20,4
16,4,20,4
17,5,20,4
18,6,20,4
19,7,20,4
20,3,21,4
21,4,21,4
22,5,21,4
23,6,21,4
24,7,21,4
0,3,17,5
1,4,17,5
2,5,17,5
3,6,17,5
4,7,17,5
5,3,18,5
6,4,18,5
7,5,18,5
8,6,18,5
9,7,18,5
10,3,19,5
11,4,19,5
12,5,19,5
13,6,19,5
14,3,20,5
15,4,20,5
16,5,20,5
17,6,20,5
18,7,20,5
19,3,21,5
20,4,21,5
21,5,21,5
22,6,21,5
23,7,21,5
0,3,17,6
1,4,17,6
2,5,17,6
3,6,17,6
4,7,17,6
5,3,18,6
6,4,18,6
7,5,18,6
8,6,18,6
9,7,18,6
10,3,19,6
11,4,19,6
12,5,19,6
13,6,19,6
14,3,20,6
15,4,20,6
16,5,20,6
17,6,20,6
18,7,20,6
19,3,21,6
20,4,21,6
21,5,21,6
22,6,21,6
23,7,21,6
0,3,17,7
1,4,17,7
2,5,17,7
3,6,17,7
4,7,17,7
5,3,18,7
6,4,18,7
7,5,18,7
8,6,18,7
9,3,19,7
10,4,19,7
11,5,19,7
12,6,19,7
13,3,20,7
14,4,20,7
