x,y,trace,time,trace_standardized,distance,distance_x,distance_y,visibility,forager,proximity,proximity_standardized,how_far_squared,how_far_squared_scaled,communicate,communicate_standardized
21,32,0.052498997310880195,1,-0.6934395148085878,6.0,6.0,0.0,6.123233995736766e-17,2,0.042894004338824,-1.353165796596855,101.0,0.495,0.0,
25,35,0.008772417507048276,1,-0.9064761533384877,3.605551275463989,2.0,3.0,0.5866088709666343,2,0.9441126341156592,0.20238678053060896,40.0,0.8,0.0,
25,35,0.008772417507048276,1,-0.9064761533384877,3.605551275463989,3.0,2.0,0.5866088709666343,3,0.9441126341156592,0.14465776802665495,41.0,0.795,0.0,
30,26,0.08576728526573597,1,-0.5313558515689091,5.385164807134504,2.0,5.0,0.16026930339021375,1,0.09468079531893253,-0.7431289361489269,20.0,0.9,0.0,
24,35,0.01105945676530874,1,-0.8953336592776322,4.242640687119285,3.0,3.0,0.44401584032621344,2,0.572723971826859,-0.4386503348276493,53.0,0.735,0.0,
24,35,0.01105945676530874,1,-0.8953336592776322,4.47213595499958,4.0,2.0,0.3894126976908918,3,0.716837143753475,-0.2741543483302881,52.0,0.74,0.0,
32,37,0.010029546326317751,1,-0.9003514004065706,6.0,0.0,6.0,6.123233995736766e-17,1,0.21528207840342586,-0.5711143599128324,65.0,0.675,0.0,
32,37,0.010029546326317751,1,-0.9003514004065706,5.656854249492381,4.0,4.0,0.08971456178219843,3,0.16497951823125762,-1.29109048915374,40.0,0.8,0.0,
30,31,0.01039706162121676,1,-0.8985608596557307,2.0,2.0,0.0,0.8660254037844387,1,1.9890013155365356,1.9587555978014963,5.0,0.975,0.0,
30,31,0.01039706162121676,1,-0.8985608596557307,3.1622776601683795,3.0,1.0,0.6764369220132265,2,1.8032119389865007,1.6852391024263191,5.0,0.975,0.0,
30,31,0.01039706162121676,1,-0.8985608596557307,2.8284271247461903,2.0,2.0,0.7381444851051177,3,1.80382336529993,1.728890499009989,0.0,1.0,0.0,
37,30,0.025154628611160093,1,-0.8266617429509334,5.0990195135927845,5.0,1.0,0.23369495451783429,1,0.005605960221854081,-0.8701770870528377,81.0,0.595,0.0,
33,34,0.006104330778716766,1,-0.919475117137165,3.1622776601683795,1.0,3.0,0.6764369220132265,1,0.3913457620681726,-0.3199933174033661,41.0,0.795,0.0,
