,x,y,time
0,23,7,1
1,24,7,1
2,25,7,1
3,26,7,1
4,23,8,1
5,24,8,1
6,25,8,1
7,26,8,1
8,23,9,1
9,24,9,1
10,25,9,1
11,26,9,1
12,23,10,1
13,24,10,1
14,25,10,1
15,26,10,1
0,23,7,2
1,24,7,2
2,25,7,2
3,26,7,2
4,23,8,2
5,24,8,2
6,25,8,2
7,26,8,2
8,23,9,2
9,24,9,2
10,25,9,2
11,26,9,2
12,23,10,2
13,24,10,2
14,25,10,2
15,26,10,2
0,23,7,3
1,24,7,3
2,25,7,3
3,26,7,3
4,23,8,3
5,24,8,3
6,25,8,3
7,26,8,3
8,23,9,3
9,24,9,3
10,25,9,3
11,26,9,3
12,23,10,3
13,24,10,3
14,25,10,3
15,26,10,3
0,23,7,4
1,24,7,4
2,25,7,4
3,26,7,4
4,23,8,4
5,24,8,4
6,25,8,4
7,26,8,4
8,23,9,4
9,24,9,4
10,25,9,4
11,26,9,4
12,23,10,4
13,24,10,4
14,25,10,4
15,26,10,4
0,23,7,5
1,24,7,5
2,25,7,5
3,26,7,5
4,23,8,5
5,24,8,5
6,25,8,5
7,26,8,5
8,23,9,5
9,24,9,5
10,25,9,5
11,26,9,5
12,23,10,5
13,24,10,5
14,25,10,5
15,26,10,5
0,23,7,6
1,24,7,6
2,25,7,6
3,26,7,6
4,23,8,6
5,24,8,6
6,25,8,6
7,26,8,6
8,23,9,6
9,24,9,6
10,25,9,6
11,26,9,6
12,23,10,6
13,24,10,6
14,25,10,6
15,26,10,6
0,23,7,7
1,24,7,7
2,25,7,7
3,26,7,7
4,23,8,7
5,24,8,7
6,25,8,7
7,26,8,7
8,23,9,7
9,24,9,7
10,25,9,7
11,26,9,7
12,23,10,7
13,24,10,7
14,25,10,7
15,26,10,7
0,23,7,8
1,24,7,8
2,25,7,8
3,26,7,8
4,23,8,8
5,24,8,8
6,25,8,8
7,26,8,8
8,23,9,8
9,24,9,8
10,25,9,8
11,26,9,8
12,23,10,8
13,24,10,8
14,25,10,8
15,26,10,8
0,23,7,9
1,24,7,9
2,25,7,9
3,26,7,9
4,23,8,9
5,24,8,9
6,25,8,9
7,26,8,9
8,23,9,9
9,24,9,9
10,25,9,9
11,26,9,9
12,23,10,9
13,24,10,9
14,25,10,9
15,26,10,9
0,23,7,10
1,24,7,10
2,25,7,10
3,26,7,10
4,23,8,10
5,24,8,10
6,25,8,10
7,26,8,10
8,23,9,10
9,24,9,10
10,25,9,10
11,23,10,10
12,24,10,10
13,25,10,10
14,26,10,10
0,23,7,11
1,24,7,11
2,25,7,11
3,26,7,11
4,23,8,11
5,24,8,11
6,25,8,11
7,26,8,11
