,x,y,time
0,19,12,1
1,20,12,1
2,21,12,1
3,19,13,1
4,20,13,1
5,21,13,1
6,19,14,1
7,20,14,1
8,21,14,1
9,10,26,1
10,11,26,1
11,12,26,1
12,10,27,1
13,11,27,1
14,12,27,1
15,10,28,1
16,11,28,1
17,12,28,1
0,19,12,2
1,20,12,2
2,21,12,2
3,19,13,2
4,20,13,2
5,21,13,2
6,19,14,2
7,20,14,2
8,21,14,2
9,10,26,2
10,11,26,2
11,12,26,2
12,10,27,2
13,11,27,2
14,12,27,2
15,10,28,2
16,11,28,2
17,12,28,2
0,19,12,3
1,20,12,3
2,21,12,3
3,19,13,3
4,20,13,3
5,21,13,3
6,19,14,3
7,20,14,3
8,21,14,3
9,10,26,3
10,11,26,3
11,12,26,3
12,10,27,3
13,11,27,3
14,12,27,3
15,10,28,3
16,11,28,3
17,12,28,3
0,19,12,4
1,20,12,4
2,21,12,4
3,19,13,4
4,20,13,4
5,21,13,4
6,20,14,4
7,21,14,4
8,10,26,4
9,11,26,4
10,12,26,4
11,10,27,4
12,11,27,4
13,12,27,4
14,10,28,4
15,11,28,4
16,12,28,4
0,19,12,5
1,20,12,5
2,21,12,5
3,19,13,5
4,21,13,5
5,20,14,5
6,21,14,5
7,10,26,5
8,11,26,5
9,12,26,5
10,11,27,5
11,12,27,5
12,10,28,5
13,11,28,5
14,12,28,5
0,19,12,6
1,20,12,6
2,21,12,6
3,19,13,6
4,21,13,6
5,20,14,6
6,10,26,6
7,11,26,6
8,12,26,6
9,11,27,6
10,12,27,6
11,10,28,6
12,11,28,6
13,12,28,6
0,19,12,7
1,21,12,7
2,19,13,7
3,21,13,7
4,20,14,7
5,10,26,7
6,11,26,7
7,12,26,7
8,11,27,7
9,10,28,7
10,11,28,7
11,12,28,7
0,19,12,8
1,21,12,8
2,19,13,8
3,20,14,8
4,10,26,8
5,11,26,8
6,12,26,8
7,11,27,8
8,10,28,8
9,11,28,8
10,12,28,8
0,19,12,9
1,21,12,9
2,20,14,9
3,10,26,9
4,11,26,9
5,11,27,9
6,10,28,9
