,x,y,time
0,18,19,1
1,19,19,1
2,20,19,1
3,18,20,1
4,19,20,1
5,20,20,1
6,18,21,1
7,19,21,1
8,20,21,1
9,15,23,1
10,16,23,1
11,17,23,1
12,15,24,1
13,16,24,1
14,17,24,1
15,15,25,1
16,16,25,1
17,17,25,1
0,18,19,2
1,19,19,2
2,20,19,2
3,18,20,2
4,19,20,2
5,20,20,2
6,18,21,2
7,19,21,2
8,20,21,2
9,15,23,2
10,16,23,2
11,17,23,2
12,15,24,2
13,16,24,2
14,17,24,2
15,15,25,2
16,16,25,2
17,17,25,2
0,18,19,3
1,19,19,3
2,20,19,3
3,18,20,3
4,19,20,3
5,20,20,3
6,18,21,3
7,19,21,3
8,20,21,3
9,15,23,3
10,16,23,3
11,17,23,3
12,15,24,3
13,16,24,3
14,17,24,3
15,15,25,3
16,16,25,3
17,17,25,3
0,18,19,4
1,19,19,4
2,20,19,4
3,18,20,4
4,19,20,4
5,18,21,4
6,19,21,4
7,20,21,4
8,15,23,4
9,16,23,4
10,17,23,4
11,15,24,4
12,16,24,4
13,17,24,4
14,15,25,4
15,16,25,4
16,17,25,4
0,18,19,5
1,19,19,5
2,20,19,5
3,18,20,5
4,19,20,5
5,18,21,5
6,20,21,5
7,15,23,5
8,16,23,5
9,17,23,5
10,15,24,5
11,16,24,5
12,17,24,5
13,15,25,5
14,16,25,5
15,17,25,5
0,18,19,6
1,19,19,6
2,20,19,6
3,18,20,6
4,19,20,6
5,18,21,6
6,15,23,6
7,16,23,6
8,17,23,6
9,15,24,6
10,16,24,6
11,17,24,6
12,15,25,6
13,16,25,6
14,17,25,6
0,18,19,7
1,19,19,7
2,20,19,7
3,19,20,7
4,18,21,7
5,15,23,7
6,16,23,7
7,17,23,7
8,15,24,7
9,16,24,7
10,17,24,7
11,15,25,7
12,16,25,7
13,17,25,7
0,19,19,8
1,20,19,8
2,19,20,8
3,18,21,8
4,15,23,8
5,16,23,8
6,17,23,8
7,15,24,8
8,16,24,8
9,17,24,8
10,15,25,8
11,16,25,8
12,17,25,8
0,20,19,9
1,19,20,9
2,18,21,9
3,15,23,9
4,16,23,9
5,17,23,9
6,15,24,9
7,16,24,9
8,17,24,9
9,15,25,9
10,16,25,9
11,17,25,9
0,19,20,10
1,18,21,10
2,15,23,10
3,16,23,10
4,17,23,10
5,15,24,10
6,16,24,10
7,17,24,10
8,15,25,10
9,16,25,10
10,17,25,10
0,19,20,11
1,15,23,11
2,16,23,11
3,17,23,11
4,15,24,11
5,16,24,11
6,17,24,11
7,15,25,11
8,16,25,11
9,17,25,11
0,19,20,12
1,15,23,12
2,17,23,12
3,15,24,12
4,16,24,12
5,17,24,12
6,15,25,12
7,16,25,12
8,17,25,12
0,19,20,13
1,15,23,13
2,17,23,13
3,15,24,13
4,17,24,13
5,15,25,13
6,16,25,13
7,17,25,13
0,19,20,14
1,15,23,14
2,17,23,14
3,15,24,14
4,17,24,14
5,15,25,14
6,17,25,14
0,19,20,15
1,15,23,15
2,17,23,15
3,17,24,15
4,15,25,15
5,17,25,15
0,19,20,16
1,15,23,16
2,17,23,16
3,15,25,16
4,17,25,16
0,19,20,17
1,15,23,17
2,17,23,17
3,15,25,17
0,19,20,18
1,15,23,18
2,17,23,18
0,19,20,19
1,17,23,19
0,19,20,20
0,19,20,21
0,8,1,22
1,9,1,22
2,10,1,22
3,8,2,22
4,9,2,22
5,10,2,22
6,8,3,22
7,9,3,22
8,10,3,22
9,8,10,22
10,9,10,22
11,10,10,22
12,8,11,22
13,9,11,22
14,10,11,22
15,8,12,22
16,9,12,22
17,10,12,22
0,8,1,23
1,9,1,23
2,10,1,23
3,8,2,23
4,9,2,23
5,10,2,23
6,8,3,23
7,9,3,23
8,10,3,23
9,8,10,23
10,9,10,23
11,10,10,23
12,8,11,23
13,9,11,23
14,10,11,23
15,8,12,23
16,9,12,23
17,10,12,23
0,8,1,24
1,9,1,24
2,10,1,24
3,8,2,24
4,9,2,24
5,10,2,24
6,8,3,24
7,9,3,24
8,10,3,24
9,8,10,24
10,9,10,24
11,10,10,24
12,8,11,24
13,9,11,24
14,10,11,24
15,8,12,24
16,9,12,24
17,10,12,24
0,8,1,25
1,9,1,25
2,10,1,25
3,8,2,25
4,9,2,25
5,10,2,25
6,8,3,25
7,9,3,25
8,10,3,25
9,8,10,25
10,9,10,25
11,10,10,25
12,8,11,25
13,9,11,25
14,10,11,25
15,8,12,25
16,9,12,25
17,10,12,25
0,8,1,26
1,9,1,26
2,10,1,26
3,8,2,26
4,9,2,26
5,10,2,26
6,8,3,26
7,9,3,26
8,10,3,26
9,8,10,26
10,9,10,26
11,10,10,26
12,8,11,26
13,9,11,26
14,10,11,26
15,8,12,26
16,9,12,26
17,10,12,26
0,8,1,27
1,9,1,27
2,10,1,27
3,8,2,27
4,9,2,27
5,10,2,27
6,8,3,27
7,9,3,27
8,10,3,27
9,8,10,27
10,9,10,27
11,10,10,27
12,8,11,27
13,9,11,27
14,10,11,27
15,8,12,27
16,9,12,27
17,10,12,27
0,8,1,28
1,9,1,28
2,10,1,28
3,8,2,28
4,9,2,28
5,10,2,28
6,8,3,28
7,9,3,28
8,10,3,28
9,8,10,28
10,9,10,28
11,10,10,28
12,8,11,28
13,9,11,28
14,10,11,28
15,8,12,28
16,9,12,28
17,10,12,28
0,8,1,29
1,9,1,29
2,10,1,29
3,8,2,29
4,9,2,29
5,10,2,29
6,8,3,29
7,9,3,29
8,10,3,29
9,8,10,29
