,x,y,time
0,26,2,1
1,27,2,1
2,26,3,1
3,27,3,1
4,26,18,1
5,27,18,1
6,26,19,1
7,27,19,1
8,19,20,1
9,20,20,1
10,19,21,1
11,20,21,1
12,23,24,1
13,24,24,1
14,23,25,1
15,24,25,1
0,26,2,2
1,27,2,2
2,26,3,2
3,27,3,2
4,26,18,2
5,27,18,2
6,26,19,2
7,27,19,2
8,19,20,2
9,20,20,2
10,19,21,2
11,20,21,2
12,23,24,2
13,24,24,2
14,23,25,2
15,24,25,2
0,26,2,3
1,27,2,3
2,26,3,3
3,27,3,3
4,26,18,3
5,27,18,3
6,26,19,3
7,27,19,3
8,19,20,3
9,20,20,3
10,19,21,3
11,20,21,3
12,23,24,3
13,24,24,3
14,23,25,3
15,24,25,3
0,26,2,4
1,27,2,4
2,26,3,4
3,27,3,4
4,26,18,4
5,27,18,4
6,26,19,4
7,27,19,4
8,19,20,4
9,20,20,4
10,19,21,4
11,20,21,4
12,23,24,4
13,24,24,4
14,23,25,4
15,24,25,4
0,26,2,5
1,27,2,5
2,26,3,5
3,27,3,5
4,26,18,5
5,27,18,5
6,26,19,5
7,27,19,5
8,19,20,5
9,20,20,5
10,19,21,5
11,20,21,5
12,23,24,5
13,24,24,5
14,23,25,5
15,24,25,5
0,26,2,6
1,27,2,6
2,26,3,6
3,27,3,6
4,26,18,6
5,27,18,6
6,26,19,6
7,27,19,6
8,19,20,6
9,20,20,6
10,19,21,6
11,20,21,6
12,23,24,6
13,24,24,6
14,23,25,6
15,24,25,6
0,26,2,7
1,27,2,7
2,26,3,7
3,27,3,7
4,26,18,7
5,27,18,7
6,26,19,7
7,27,19,7
8,19,20,7
9,20,20,7
10,19,21,7
11,20,21,7
12,23,24,7
13,24,24,7
14,23,25,7
15,24,25,7
0,26,2,8
1,27,2,8
2,26,3,8
3,27,3,8
4,26,18,8
5,27,18,8
6,26,19,8
7,27,19,8
8,19,20,8
9,20,20,8
10,20,21,8
11,23,24,8
12,24,24,8
13,23,25,8
14,24,25,8
0,26,2,9
1,27,2,9
2,26,3,9
3,27,3,9
4,26,18,9
5,27,18,9
6,26,19,9
7,27,19,9
8,19,20,9
9,20,21,9
10,23,24,9
11,24,24,9
12,23,25,9
13,24,25,9
0,26,2,10
1,27,2,10
2,26,3,10
3,27,3,10
4,26,18,10
5,27,18,10
6,26,19,10
7,27,19,10
8,20,21,10
9,23,24,10
10,24,24,10
11,23,25,10
12,24,25,10
0,26,2,11
1,27,2,11
2,27,3,11
3,26,18,11
4,27,18,11
5,26,19,11
6,27,19,11
7,23,24,11
8,24,24,11
9,23,25,11
10,24,25,11
0,26,2,12
1,27,3,12
2,26,18,12
3,27,18,12
4,26,19,12
5,27,19,12
6,23,24,12
7,24,24,12
8,23,25,12
9,24,25,12
0,26,2,13
1,26,18,13
2,27,18,13
3,26,19,13
4,27,19,13
5,23,24,13
6,23,25,13
7,24,25,13
0,26,18,14
1,27,18,14
2,26,19,14
3,27,19,14
4,23,24,14
5,23,25,14
0,26,18,15
1,27,18,15
2,26,19,15
3,27,19,15
4,23,24,15
0,26,18,16
1,27,18,16
2,26,19,16
3,27,19,16
0,26,18,17
1,27,18,17
2,26,19,17
3,27,19,17
0,26,18,18
1,27,18,18
2,26,19,18
3,27,19,18
0,27,18,19
1,26,19,19
2,27,19,19
0,27,18,20
0,0,11,21
1,1,11,21
2,0,12,21
3,1,12,21
4,5,12,21
5,6,12,21
6,1,13,21
7,2,13,21
8,5,13,21
9,6,13,21
10,1,14,21
11,2,14,21
12,22,22,21
13,23,22,21
14,22,23,21
15,23,23,21
0,0,11,22
1,1,11,22
2,0,12,22
3,1,12,22
4,5,12,22
5,6,12,22
6,1,13,22
7,2,13,22
8,5,13,22
9,6,13,22
10,1,14,22
11,2,14,22
12,22,22,22
13,23,22,22
14,22,23,22
15,23,23,22
0,0,11,23
1,1,11,23
2,0,12,23
3,1,12,23
4,5,12,23
5,6,12,23
6,1,13,23
7,2,13,23
8,5,13,23
9,6,13,23
10,1,14,23
11,2,14,23
12,22,22,23
13,23,22,23
14,22,23,23
15,23,23,23
0,0,11,24
1,1,11,24
2,0,12,24
3,1,12,24
4,5,12,24
5,6,12,24
6,1,13,24
7,2,13,24
8,5,13,24
9,6,13,24
10,1,14,24
11,2,14,24
12,22,22,24
13,22,23,24
14,23,23,24
0,0,11,25
1,1,11,25
2,0,12,25
3,1,12,25
4,5,12,25
5,6,12,25
6,1,13,25
7,2,13,25
8,5,13,25
9,6,13,25
10,1,14,25
11,2,14,25
12,22,22,25
13,23,23,25
0,0,11,26
1,1,11,26
2,0,12,26
3,1,12,26
4,5,12,26
5,6,12,26
6,1,13,26
7,2,13,26
8,5,13,26
9,6,13,26
10,1,14,26
11,2,14,26
12,22,22,26
0,0,11,27
1,1,11,27
2,0,12,27
3,1,12,27
4,5,12,27
5,6,12,27
6,1,13,27
7,2,13,27
8,5,13,27
9,6,13,27
10,1,14,27
11,2,14,27
0,0,11,28
1,1,11,28
2,0,12,28
3,1,12,28
4,5,12,28
5,6,12,28
6,1,13,28
7,2,13,28
8,5,13,28
9,6,13,28
10,1,14,28
11,2,14,28
0,0,11,29
1,1,11,29
2,0,12,29
3,1,12,29
4,5,12,29
