,x,y,time
0,11,0,1
1,10,1,1
2,13,1,1
3,24,3,1
4,2,5,1
5,12,9,1
6,5,11,1
7,5,13,1
8,20,15,1
9,21,17,1
10,15,18,1
11,24,18,1
12,6,20,1
13,7,23,1
14,22,25,1
15,22,28,1
0,11,0,2
1,10,1,2
2,13,1,2
3,24,3,2
4,2,5,2
5,12,9,2
6,5,11,2
7,5,13,2
8,20,15,2
9,21,17,2
10,15,18,2
11,24,18,2
12,6,20,2
13,7,23,2
14,22,25,2
15,22,28,2
0,11,0,3
1,10,1,3
2,13,1,3
3,24,3,3
4,2,5,3
5,12,9,3
6,5,11,3
7,5,13,3
8,20,15,3
9,21,17,3
10,15,18,3
11,24,18,3
12,6,20,3
13,7,23,3
14,22,25,3
15,22,28,3
0,11,0,4
1,10,1,4
2,13,1,4
3,2,5,4
4,12,9,4
5,5,11,4
6,5,13,4
7,20,15,4
8,21,17,4
9,15,18,4
10,24,18,4
11,6,20,4
12,7,23,4
13,22,25,4
14,22,28,4
0,11,0,5
1,10,1,5
2,13,1,5
3,12,9,5
4,5,11,5
5,5,13,5
6,21,17,5
7,24,18,5
8,6,20,5
9,7,23,5
10,22,25,5
11,22,28,5
0,11,0,6
1,10,1,6
2,13,1,6
3,12,9,6
4,5,11,6
5,5,13,6
6,24,18,6
7,7,23,6
8,22,25,6
9,22,28,6
0,11,0,7
1,10,1,7
2,13,1,7
3,12,9,7
4,5,11,7
5,5,13,7
6,24,18,7
7,22,25,7
8,22,28,7
0,11,0,8
1,10,1,8
2,13,1,8
3,12,9,8
4,5,11,8
5,5,13,8
6,24,18,8
7,22,25,8
8,22,28,8
0,11,0,9
1,10,1,9
2,13,1,9
3,12,9,9
4,5,11,9
5,5,13,9
6,22,25,9
7,22,28,9
0,11,0,10
1,10,1,10
2,13,1,10
3,12,9,10
4,5,11,10
5,5,13,10
6,22,25,10
7,22,28,10
0,11,0,11
1,10,1,11
2,13,1,11
3,12,9,11
4,5,11,11
5,5,13,11
6,22,25,11
7,22,28,11
0,11,0,12
1,10,1,12
2,13,1,12
3,12,9,12
4,5,11,12
5,22,25,12
6,22,28,12
0,11,0,13
1,10,1,13
2,13,1,13
3,12,9,13
4,22,25,13
5,22,28,13
0,11,0,14
