,x,y,time
0,13,0,1
1,16,0,1
2,14,1,1
3,17,2,1
4,27,2,1
5,5,3,1
6,5,6,1
7,6,10,1
8,0,13,1
9,11,14,1
10,20,17,1
11,22,17,1
12,25,18,1
13,16,19,1
14,11,22,1
0,13,0,2
1,16,0,2
2,14,1,2
3,17,2,2
4,27,2,2
5,5,3,2
6,5,6,2
7,6,10,2
8,0,13,2
9,11,14,2
10,20,17,2
11,22,17,2
12,25,18,2
13,16,19,2
14,11,22,2
0,13,0,3
1,16,0,3
2,14,1,3
3,17,2,3
4,5,3,3
5,5,6,3
6,6,10,3
7,0,13,3
8,11,14,3
9,20,17,3
10,22,17,3
11,25,18,3
12,16,19,3
13,11,22,3
0,13,0,4
1,16,0,4
2,14,1,4
3,17,2,4
4,5,3,4
5,5,6,4
6,6,10,4
7,0,13,4
8,11,14,4
9,20,17,4
10,22,17,4
11,25,18,4
12,16,19,4
13,11,22,4
0,13,0,5
1,16,0,5
2,14,1,5
3,17,2,5
4,5,3,5
5,6,10,5
6,0,13,5
7,11,14,5
8,20,17,5
9,22,17,5
10,25,18,5
11,16,19,5
12,11,22,5
0,13,0,6
1,16,0,6
2,14,1,6
3,17,2,6
4,0,13,6
5,11,14,6
6,20,17,6
7,22,17,6
8,25,18,6
9,16,19,6
10,11,22,6
0,13,0,7
1,14,1,7
2,17,2,7
3,0,13,7
4,11,14,7
5,20,17,7
6,22,17,7
7,25,18,7
8,16,19,7
9,11,22,7
0,14,1,8
1,17,2,8
2,0,13,8
3,11,14,8
4,20,17,8
5,25,18,8
6,16,19,8
7,11,22,8
0,17,2,9
1,0,13,9
2,11,14,9
3,25,18,9
4,16,19,9
5,11,22,9
0,17,2,10
1,0,13,10
2,11,14,10
3,25,18,10
4,16,19,10
5,11,22,10
0,0,13,11
1,11,14,11
2,25,18,11
3,16,19,11
4,11,22,11
0,0,13,12
1,11,14,12
2,25,18,12
3,16,19,12
4,11,22,12
0,0,13,13
1,11,14,13
2,25,18,13
3,16,19,13
4,11,22,13
0,0,13,14
1,11,14,14
2,25,18,14
3,11,22,14
0,0,13,15
1,11,14,15
2,25,18,15
3,11,22,15
0,0,13,16
1,25,18,16
2,11,22,16
0,0,13,17
1,25,18,17
2,11,22,17
0,0,13,18
1,25,18,18
2,11,22,18
0,0,13,19
1,25,18,19
2,11,22,19
0,0,13,20
1,25,18,20
2,11,22,20
0,0,13,21
1,25,18,21
2,11,22,21
0,0,13,22
1,25,18,22
2,11,22,22
0,0,13,23
1,25,18,23
2,11,22,23
0,0,13,24
1,25,18,24
2,11,22,24
0,0,13,25
1,25,18,25
2,11,22,25
0,25,18,26
1,11,22,26
0,25,18,27
1,11,22,27
0,25,18,28
1,11,22,28
0,25,18,29
1,11,22,29
0,25,18,30
1,11,22,30
0,25,18,31
1,11,22,31
0,25,18,32
1,11,22,32
0,25,18,33
1,11,22,33
0,25,18,34
1,11,22,34
0,25,18,35
1,11,22,35
0,25,18,36
1,11,22,36
0,25,18,37
1,11,22,37
0,25,18,38
1,11,22,38
0,25,18,39
1,11,22,39
0,25,18,40
1,11,22,40
0,25,18,41
1,11,22,41
0,25,18,42
1,11,22,42
0,25,18,43
1,11,22,43
0,25,18,44
1,11,22,44
0,25,18,45
1,11,22,45
0,25,18,46
0,25,18,47
0,25,18,48
0,25,18,49
